"Year","Series","Seasonally adjusted or not","Age","Sex","Units","Unit multiplier","Observation status","Value"
"2003 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","13.023718019807177"
"2003 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","12.561020977410401"
"2003 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","14.8419693982732"
"2003 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","12.100777237140022"
"2004 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","11.803688310588244"
"2004 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","12.138961094847284"
"2004 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","15.199674365035207"
"2004 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","12.949777566664755"
"2005 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","12.790939407603666"
"2005 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","12.950857097032973"
"2005 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","15.24348021447793"
"2005 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","13.920280134135677"
"2006 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","13.388182568110906"
"2006 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","13.883090609701446"
"2006 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","16.055504676673042"
"2006 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","13.355782801148672"
"2007 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","13.370472001037321"
"2007 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","13.445915340647069"
"2007 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","15.48162464608372"
"2007 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","12.96146656069144"
"2008 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","12.712992396305713"
"2008 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","13.233010878909592"
"2008 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","16.056642631069053"
"2008 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","13.700630456589625"
"2009 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","14.42328867734641"
"2009 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","14.973745662801624"
"2009 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","17.203711470888667"
"2009 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","14.445712828282046"
"2010 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","14.731480989399518"
"2010 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","14.116360808543716"
"2010 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","17.040698452995176"
"2010 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","15.453948989312455"
"2011 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","14.511802413460618"
"2011 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","15.248992931235087"
"2011 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","18.642842286767188"
"2011 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","16.077741494718119"
"2012 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","15.426939227075529"
"2012 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","15.665759386288389"
"2012 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","16.769897818915318"
"2012 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","14.390536082750691"
"2013 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","14.186127454710027"
"2013 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","14.384369603469391"
"2013 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","16.66501917826433"
"2013 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","13.827446571190544"
"2014 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","12.577499840250875"
"2014 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","12.751056233637756"
"2014 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","14.983579004972594"
"2014 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","12.947724292965354"
"2015 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","12.030810369431352"
"2015 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","12.207265634222541"
"2015 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","13.441798306090815"
"2015 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","11.467870250411384"
"2016 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","11.199933077553045"
"2016 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","11.278178469515284"
"2016 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","13.601786617238949"
"2016 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","11.113721831787313"
"2017 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","10.375922587642561"
"2017 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","10.666558184557481"
"2017 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","12.844406185547047"
"2017 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","10.874795238121139"
"2018 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","10.578102916144863"
"2018 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","10.606327145154852"
"2018 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","12.452419821241195"
"2018 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","10.974665850180081"
"2019 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","10.274093795709705"
"2019 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","11.063957281056314"
"2019 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","13.12235517702986"
"2019 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","10.739162154330321"
"2020 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","10.433062033562631"
"2020 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","11.053773889504827"
"2020 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","12.609954903451451"
"2020 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","11.57944262102097"
"2021 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","9.7553789133777933"
"2021 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","8.9569923292852174"
"2021 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","11.629305688382182"
"2021 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","10.11983025193063"
"2022 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","9.5248219419968585"
"2022 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","9.8059545544269398"
"2022 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","11.949788569808199"
"2022 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","","","Percentage (%)","Units","Normal value","11.623168808162845"
"2002","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.5425"
"2003","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.675"
"2004","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.2825"
"2005","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.795"
"2006","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.6325"
"2007","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.925"
"2008","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.195"
"2009","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","6.6125"
"2010","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","5.79"
"2011","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","6.205"
"2012","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","5.4725"
"2013","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.62"
"2014","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.8925"
"2015","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.45"
"2016","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.225"
"2017","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.51"
"2018","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.16"
"2019","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.28"
"2020","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.75"
"2021","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.1875"
"2022","Proportion of youth not in education, employment or training","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.51"
"2001 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","10.594708978938657"
"2001 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.7070224442286799"
"2002 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.5409623251457472"
"2002 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.3162256518884483"
"2002 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","11.330574036974909"
"2002 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.9834330360036594"
"2003 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.2346545757227503"
"2003 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.7460013844167896"
"2003 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","11.462523136343867"
"2003 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.2550732278487491"
"2004 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","6.8808694600426321"
"2004 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","6.9720919837065303"
"2004 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","11.306324348784711"
"2004 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.9660561509958674"
"2005 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.8645525035169905"
"2005 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.418258822996032"
"2005 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","11.430125027789641"
"2005 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.4692106614767049"
"2006 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.6204190678415733"
"2006 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.8106121765997933"
"2006 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","11.532744442503049"
"2006 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.5696367297750644"
"2007 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.0649535823484628"
"2007 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.0270885231859923"
"2007 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","10.33856368035095"
"2007 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.2666178346277519"
"2008 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","6.0467342143871683"
"2008 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","6.6609778008604206"
"2008 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","9.6919587159681537"
"2008 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","6.3809553420726752"
"2009 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","6.2701879284723994"
"2009 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","6.630115809911298"
"2009 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.1199355397175363"
"2009 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","5.4313231621068585"
"2010 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.9956007851447506"
"2010 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","5.2153224948443118"
"2010 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","7.9506158647672311"
"2010 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.9911911452984539"
"2011 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.8958626213023502"
"2011 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","5.3932960237566023"
"2011 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","8.7618395038806725"
"2011 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","5.7682569563358888"
"2012 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","5.4550824799128002"
"2012 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","5.6193049909413348"
"2012 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","6.8208332519624051"
"2012 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.9941085969425152"
"2013 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.4119084982578958"
"2013 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.2379284869244085"
"2013 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","5.9721190705245837"
"2013 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.8644485512512943"
"2014 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","2.9319345008996063"
"2014 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.4623668220522319"
"2014 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","5.4838089406349964"
"2014 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.6959797399261261"
"2015 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","2.8149785760217134"
"2015 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","2.9657664564672137"
"2015 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","5.2317856223231676"
"2015 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","2.7918484921145081"
"2016 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.3296976411621992"
"2016 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.1022969351283622"
"2016 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","5.76392063278906"
"2016 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.7102365452945221"
"2017 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.4217873550620994"
"2017 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.49024136786554"
"2017 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","6.2878599929730408"
"2017 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.839458251308979"
"2018 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.4837256621573944"
"2018 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.8596464844313476"
"2018 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","5.0475456763698547"
"2018 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.2537296295801799"
"2019 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","2.6943855675370596"
"2019 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.8106349324549393"
"2019 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","6.5878797191733343"
"2019 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.0307003405394379"
"2020 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.391255767378961"
"2020 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.860684289718201"
"2020 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.6844643296401527"
"2020 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.066854074045692"
"2021 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","2.2561165412567341"
"2021 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.622696807494886"
"2021 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.8005583425464318"
"2021 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.0704486081419677"
"2022 Q1","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","2.9180161237125612"
"2022 Q2","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.0132440564117102"
"2022 Q3","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","4.3808194461415155"
"2022 Q4","Proportion of youth not in education, employment or training (quarterly)","Not seasonally adjusted","16 to 17","","Percentage (%)","Units","Normal value","3.7264408769998432"
"2002","Proportion of youth not in education, employment or training","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.54"
"2003","Proportion of youth not in education, employment or training","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.4375"
"2004","Proportion of youth not in education, employment or training","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.4"
"2005","Proportion of youth not in education, employment or training","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.1375"
"2006","Proportion of youth not in education, employment or training","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.7325"
"2007","Proportion of youth not in education, employment or training","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.475"
"2008","Proportion of youth not in education, employment or training","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.8125"
"2009","Proportion of youth not in education, employment or training","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","17.6325"
"2010","Proportion of youth not in education, employment or training","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","17.89"
"2011","Proportion of youth not in education, employment or training","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","18.72"
"2012","Proportion of youth not in education, employment or training","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","18.175"
"2013","Proportion of youth not in education, employment or training","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","17.4075"
"2014","Proportion of youth not in education, employment or training","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","15.7625"
"2015","Proportion of youth not in education, employment or training","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","14.555"
"2016","Proportion of youth not in education, employment or training","Not seasonally adjusted","18 to 24","","Percentage (%)","Units","Normal value","13.7275"
