Year,Series,Sex,Region of England,Age group,Units,Unit multiplier,Observation status,Value
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,55-64,Percentage,Units,Normal value,14.3
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,55-64,Percentage,Units,Normal value,14.2
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,55-64,Percentage,Units,Normal value,15.2
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,55-64,Percentage,Units,Normal value,16.100000000000001
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,55-64,Percentage,Units,Normal value,15.9
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,55-64,Percentage,Units,Normal value,17.2
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,55-64,Percentage,Units,Normal value,17.600000000000001
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,65+,Percentage,Units,Normal value,8.1
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,65+,Percentage,Units,Normal value,8.6999999999999993
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,65+,Percentage,Units,Normal value,8.1
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,65+,Percentage,Units,Normal value,8.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,65+,Percentage,Units,Normal value,7.2
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,65+,Percentage,Units,Normal value,8.6999999999999993
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,65+,Percentage,Units,Normal value,8.3000000000000007
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,65+,Percentage,Units,Normal value,9
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,65+,Percentage,Units,Normal value,9.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,65+,Percentage,Units,Normal value,8.9
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,65+,Percentage,Units,Normal value,10
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,All 18+,Percentage,Units,Normal value,13.8
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,All 18+,Percentage,Units,Normal value,14.7
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,All 18+,Percentage,Units,Normal value,14.1
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,All 18+,Percentage,Units,Normal value,14.5
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,All 18+,Percentage,Units,Normal value,14.2
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,All 18+,Percentage,Units,Normal value,15.4
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,All 18+,Percentage,Units,Normal value,15.7
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,All 18+,Percentage,Units,Normal value,16.7
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,All 18+,Percentage,Units,Normal value,17.8
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,All 18+,Percentage,Units,Normal value,18.3
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,West Midlands,All 18+,Percentage,Units,Normal value,19.2
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,18-24,Percentage,Units,Normal value,14.8
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,18-24,Percentage,Units,Normal value,14.7
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,18-24,Percentage,Units,Normal value,18.8
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,18-24,Percentage,Units,Normal value,17
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,18-24,Percentage,Units,Normal value,18.600000000000001
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,18-24,Percentage,Units,Normal value,17.399999999999999
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,18-24,Percentage,Units,Normal value,21.9
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,18-24,Percentage,Units,Normal value,26.9
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,18-24,Percentage,Units,Normal value,23.3
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,18-24,Percentage,Units,Normal value,29.4
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,18-24,Percentage,Units,Normal value,28.3
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,25-34,Percentage,Units,Normal value,17
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,25-34,Percentage,Units,Normal value,20.5
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,25-34,Percentage,Units,Normal value,18.899999999999999
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,25-34,Percentage,Units,Normal value,18.5
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,25-34,Percentage,Units,Normal value,19.100000000000001
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,25-34,Percentage,Units,Normal value,21
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,25-34,Percentage,Units,Normal value,23.9
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,25-34,Percentage,Units,Normal value,22.5
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,25-34,Percentage,Units,Normal value,23.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,25-34,Percentage,Units,Normal value,24.7
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,25-34,Percentage,Units,Normal value,25.7
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,35-44,Percentage,Units,Normal value,14.1
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,35-44,Percentage,Units,Normal value,17.7
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,35-44,Percentage,Units,Normal value,15.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,35-44,Percentage,Units,Normal value,16.2
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,35-44,Percentage,Units,Normal value,14.6
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,35-44,Percentage,Units,Normal value,16
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,35-44,Percentage,Units,Normal value,19.600000000000001
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,35-44,Percentage,Units,Normal value,20.2
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,35-44,Percentage,Units,Normal value,21.4
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,35-44,Percentage,Units,Normal value,20.2
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,35-44,Percentage,Units,Normal value,22.3
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,45-54,Percentage,Units,Normal value,14.7
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,45-54,Percentage,Units,Normal value,16.100000000000001
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,45-54,Percentage,Units,Normal value,16.5
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,45-54,Percentage,Units,Normal value,16.8
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,45-54,Percentage,Units,Normal value,15.9
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,45-54,Percentage,Units,Normal value,16.8
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,45-54,Percentage,Units,Normal value,18.3
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,45-54,Percentage,Units,Normal value,18.7
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,45-54,Percentage,Units,Normal value,18
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,45-54,Percentage,Units,Normal value,18
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,45-54,Percentage,Units,Normal value,20
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,55-64,Percentage,Units,Normal value,12.6
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,55-64,Percentage,Units,Normal value,12.8
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,55-64,Percentage,Units,Normal value,12.5
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,55-64,Percentage,Units,Normal value,13.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,55-64,Percentage,Units,Normal value,14.2
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,55-64,Percentage,Units,Normal value,13
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,55-64,Percentage,Units,Normal value,14.6
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,55-64,Percentage,Units,Normal value,16.5
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,55-64,Percentage,Units,Normal value,16.8
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,55-64,Percentage,Units,Normal value,16.600000000000001
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,55-64,Percentage,Units,Normal value,16.5
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,65+,Percentage,Units,Normal value,8.3000000000000007
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,65+,Percentage,Units,Normal value,7.6
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,65+,Percentage,Units,Normal value,6.6
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,65+,Percentage,Units,Normal value,7
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,65+,Percentage,Units,Normal value,8.1999999999999993
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,65+,Percentage,Units,Normal value,7
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,65+,Percentage,Units,Normal value,7.9
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,65+,Percentage,Units,Normal value,9
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,65+,Percentage,Units,Normal value,8.3000000000000007
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,65+,Percentage,Units,Normal value,9.6
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,65+,Percentage,Units,Normal value,10
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,All 18+,Percentage,Units,Normal value,12.9
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,All 18+,Percentage,Units,Normal value,14.1
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,All 18+,Percentage,Units,Normal value,13.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,All 18+,Percentage,Units,Normal value,14
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,All 18+,Percentage,Units,Normal value,14.2
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,All 18+,Percentage,Units,Normal value,14.4
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,All 18+,Percentage,Units,Normal value,16.600000000000001
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,All 18+,Percentage,Units,Normal value,17.7
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,All 18+,Percentage,Units,Normal value,17.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,All 18+,Percentage,Units,Normal value,18.3
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,East of England,All 18+,Percentage,Units,Normal value,19.3
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,18-24,Percentage,Units,Normal value,9.4
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,18-24,Percentage,Units,Normal value,10.9
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,18-24,Percentage,Units,Normal value,12.6
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,18-24,Percentage,Units,Normal value,13.7
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,18-24,Percentage,Units,Normal value,16.100000000000001
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,18-24,Percentage,Units,Normal value,16.2
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,18-24,Percentage,Units,Normal value,17.100000000000001
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,18-24,Percentage,Units,Normal value,19.5
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,18-24,Percentage,Units,Normal value,18.3
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,18-24,Percentage,Units,Normal value,19.399999999999999
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,18-24,Percentage,Units,Normal value,20.8
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,25-34,Percentage,Units,Normal value,12.2
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,25-34,Percentage,Units,Normal value,14.2
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,25-34,Percentage,Units,Normal value,15.1
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,25-34,Percentage,Units,Normal value,15.8
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,25-34,Percentage,Units,Normal value,17.3
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,25-34,Percentage,Units,Normal value,17.399999999999999
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,25-34,Percentage,Units,Normal value,19.8
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,25-34,Percentage,Units,Normal value,21.3
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,25-34,Percentage,Units,Normal value,19.8
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,25-34,Percentage,Units,Normal value,21.3
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,25-34,Percentage,Units,Normal value,22.6
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,35-44,Percentage,Units,Normal value,12.9
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,35-44,Percentage,Units,Normal value,13.9
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,35-44,Percentage,Units,Normal value,13.6
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,35-44,Percentage,Units,Normal value,15.9
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,35-44,Percentage,Units,Normal value,15.7
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,35-44,Percentage,Units,Normal value,17
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,35-44,Percentage,Units,Normal value,16.899999999999999
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,35-44,Percentage,Units,Normal value,17.600000000000001
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,35-44,Percentage,Units,Normal value,17.7
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,35-44,Percentage,Units,Normal value,19.7
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,35-44,Percentage,Units,Normal value,21.2
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,45-54,Percentage,Units,Normal value,12.8
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,45-54,Percentage,Units,Normal value,14.2
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,45-54,Percentage,Units,Normal value,14.1
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,45-54,Percentage,Units,Normal value,15.1
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,45-54,Percentage,Units,Normal value,16
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,45-54,Percentage,Units,Normal value,15.8
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,45-54,Percentage,Units,Normal value,17.399999999999999
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,45-54,Percentage,Units,Normal value,18.8
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,45-54,Percentage,Units,Normal value,18.399999999999999
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,45-54,Percentage,Units,Normal value,17.899999999999999
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,45-54,Percentage,Units,Normal value,19.100000000000001
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,55-64,Percentage,Units,Normal value,12.3
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,55-64,Percentage,Units,Normal value,11.9
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,55-64,Percentage,Units,Normal value,13
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,55-64,Percentage,Units,Normal value,13.4
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,55-64,Percentage,Units,Normal value,13.6
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,55-64,Percentage,Units,Normal value,14.5
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,55-64,Percentage,Units,Normal value,14.8
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,55-64,Percentage,Units,Normal value,14.4
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,55-64,Percentage,Units,Normal value,16.8
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,55-64,Percentage,Units,Normal value,17.5
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,55-64,Percentage,Units,Normal value,17.399999999999999
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,65+,Percentage,Units,Normal value,7.9
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,65+,Percentage,Units,Normal value,8.1
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,65+,Percentage,Units,Normal value,7.8
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,65+,Percentage,Units,Normal value,7.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,65+,Percentage,Units,Normal value,6.8
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,65+,Percentage,Units,Normal value,7.7
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,65+,Percentage,Units,Normal value,8.4
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,65+,Percentage,Units,Normal value,8.5
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,65+,Percentage,Units,Normal value,9
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,65+,Percentage,Units,Normal value,10.5
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,65+,Percentage,Units,Normal value,10.8
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,All 18+,Percentage,Units,Normal value,11.5
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,All 18+,Percentage,Units,Normal value,12.5
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,All 18+,Percentage,Units,Normal value,12.9
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,All 18+,Percentage,Units,Normal value,13.9
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,All 18+,Percentage,Units,Normal value,14.6
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,All 18+,Percentage,Units,Normal value,15.2
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,All 18+,Percentage,Units,Normal value,16.3
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,All 18+,Percentage,Units,Normal value,17.2
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,All 18+,Percentage,Units,Normal value,17.100000000000001
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,All 18+,Percentage,Units,Normal value,18.2
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,London,All 18+,Percentage,Units,Normal value,19.2
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,18-24,Percentage,Units,Normal value,12.5
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,18-24,Percentage,Units,Normal value,15.2
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,18-24,Percentage,Units,Normal value,16.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,18-24,Percentage,Units,Normal value,17.7
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,18-24,Percentage,Units,Normal value,17.7
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,18-24,Percentage,Units,Normal value,22.1
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,18-24,Percentage,Units,Normal value,23.2
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,18-24,Percentage,Units,Normal value,25.5
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,18-24,Percentage,Units,Normal value,24.7
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,18-24,Percentage,Units,Normal value,24.4
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,18-24,Percentage,Units,Normal value,26.8
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,25-34,Percentage,Units,Normal value,16.100000000000001
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,25-34,Percentage,Units,Normal value,17.600000000000001
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,25-34,Percentage,Units,Normal value,18.5
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,25-34,Percentage,Units,Normal value,18.3
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,25-34,Percentage,Units,Normal value,20
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,25-34,Percentage,Units,Normal value,21.4
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,25-34,Percentage,Units,Normal value,22.5
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,25-34,Percentage,Units,Normal value,22.4
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,25-34,Percentage,Units,Normal value,25.3
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,25-34,Percentage,Units,Normal value,24.7
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,25-34,Percentage,Units,Normal value,23.7
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,35-44,Percentage,Units,Normal value,14.1
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,35-44,Percentage,Units,Normal value,14.7
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,35-44,Percentage,Units,Normal value,12.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,35-44,Percentage,Units,Normal value,13.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,35-44,Percentage,Units,Normal value,14.9
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,35-44,Percentage,Units,Normal value,15.5
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,35-44,Percentage,Units,Normal value,18.899999999999999
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,35-44,Percentage,Units,Normal value,18.2
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,35-44,Percentage,Units,Normal value,18.600000000000001
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,35-44,Percentage,Units,Normal value,21.2
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,35-44,Percentage,Units,Normal value,21.2
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,45-54,Percentage,Units,Normal value,14.2
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,45-54,Percentage,Units,Normal value,13.6
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,45-54,Percentage,Units,Normal value,13.1
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,45-54,Percentage,Units,Normal value,13.9
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,45-54,Percentage,Units,Normal value,14.7
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,45-54,Percentage,Units,Normal value,15.9
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,45-54,Percentage,Units,Normal value,17.2
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,45-54,Percentage,Units,Normal value,17.399999999999999
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,45-54,Percentage,Units,Normal value,18.899999999999999
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,45-54,Percentage,Units,Normal value,19
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,45-54,Percentage,Units,Normal value,19.3
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,55-64,Percentage,Units,Normal value,11.1
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,55-64,Percentage,Units,Normal value,12.1
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,55-64,Percentage,Units,Normal value,11.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,55-64,Percentage,Units,Normal value,13.5
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,55-64,Percentage,Units,Normal value,13.7
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,55-64,Percentage,Units,Normal value,12.6
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,55-64,Percentage,Units,Normal value,13.3
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,55-64,Percentage,Units,Normal value,15.2
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,55-64,Percentage,Units,Normal value,14.6
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,55-64,Percentage,Units,Normal value,15.8
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,55-64,Percentage,Units,Normal value,16.7
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,65+,Percentage,Units,Normal value,6.8
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,65+,Percentage,Units,Normal value,6.9
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,65+,Percentage,Units,Normal value,6
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,65+,Percentage,Units,Normal value,6.3
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,65+,Percentage,Units,Normal value,6.4
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,65+,Percentage,Units,Normal value,6.8
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,65+,Percentage,Units,Normal value,7
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Persons,South East,65+,Percentage,Units,Normal value,7.4
