"Year","Series","Age","Sex","Country","Region","Industry sector","Occupation","Units","Unit multiplier","Observation status","Value"
"2015/16","Fatal injury","25 to 34","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.52"
"2015/16","Fatal injury","35 to 44","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.73"
"2015/16","Fatal injury","45 to 54","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.87"
"2015/16","Fatal injury","55 to 59","Male","","","","","Rate per 100,000 workers","Units","Normal value","1"
"2015/16","Fatal injury","60 to 64","Male","","","","","Rate per 100,000 workers","Units","Normal value","1.61"
"2015/16","Fatal injury","65 and over","Male","","","","","Rate per 100,000 workers","Units","Normal value","2.83"
"2015/16","Fatal injury","","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.03"
"2015/16","Fatal injury","Under 16","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2015/16","Fatal injury","16 to 24","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2015/16","Fatal injury","20 to 24","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2015/16","Fatal injury","25 to 34","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2015/16","Fatal injury","35 to 44","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.03"
"2015/16","Fatal injury","45 to 54","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.05"
"2015/16","Fatal injury","55 to 59","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2015/16","Fatal injury","60 to 64","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.13"
"2015/16","Fatal injury","65 and over","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.22"
"2016/17","Fatal injury","Under 16","","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2016/17","Fatal injury","16 to 24","","","","","","Rate per 100,000 workers","Units","Normal value","0.19"
"2016/17","Fatal injury","20 to 24","","","","","","Rate per 100,000 workers","Units","Normal value","0.32"
"2016/17","Fatal injury","25 to 34","","","","","","Rate per 100,000 workers","Units","Normal value","0.22"
"2016/17","Fatal injury","35 to 44","","","","","","Rate per 100,000 workers","Units","Normal value","0.39"
"2016/17","Fatal injury","45 to 54","","","","","","Rate per 100,000 workers","Units","Normal value","0.28000000000000003"
"2016/17","Fatal injury","55 to 59","","","","","","Rate per 100,000 workers","Units","Normal value","0.73"
"2016/17","Fatal injury","60 to 64","","","","","","Rate per 100,000 workers","Units","Normal value","0.66"
"2016/17","Fatal injury","65 and over","","","","","","Rate per 100,000 workers","Units","Normal value","1.92"
"2016/17","Fatal injury","","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.78"
"2016/17","Fatal injury","Under 16","Male","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2016/17","Fatal injury","16 to 24","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.4"
"2016/17","Fatal injury","20 to 24","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.62"
"2016/17","Fatal injury","25 to 34","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.41"
"2016/17","Fatal injury","35 to 44","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.71"
"2016/17","Fatal injury","45 to 54","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.53"
"2016/17","Fatal injury","55 to 59","Male","","","","","Rate per 100,000 workers","Units","Normal value","1.35"
"2016/17","Fatal injury","60 to 64","Male","","","","","Rate per 100,000 workers","Units","Normal value","1.17"
"2016/17","Fatal injury","65 and over","Male","","","","","Rate per 100,000 workers","Units","Normal value","3.03"
"2016/17","Fatal injury","","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.03"
"2016/17","Fatal injury","Under 16","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2016/17","Fatal injury","16 to 24","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2016/17","Fatal injury","20 to 24","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2016/17","Fatal injury","25 to 34","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2016/17","Fatal injury","35 to 44","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.03"
"2016/17","Fatal injury","45 to 54","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.03"
"2016/17","Fatal injury","55 to 59","Female","","","","","Rate per 100,000 workers","Units","Normal value","7.0000000000000007E-2"
"2016/17","Fatal injury","60 to 64","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2016/17","Fatal injury","65 and over","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.21"
"2017/18","Fatal injury","Under 16","","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2017/18","Fatal injury","16 to 24","","","","","","Rate per 100,000 workers","Units","Normal value","0.1"
"2017/18","Fatal injury","20 to 24","","","","","","Rate per 100,000 workers","Units","Normal value","0.28999999999999998"
"2017/18","Fatal injury","25 to 34","","","","","","Rate per 100,000 workers","Units","Normal value","0.23"
"2017/18","Fatal injury","35 to 44","","","","","","Rate per 100,000 workers","Units","Normal value","0.3"
"2017/18","Fatal injury","45 to 54","","","","","","Rate per 100,000 workers","Units","Normal value","0.28000000000000003"
"2017/18","Fatal injury","55 to 59","","","","","","Rate per 100,000 workers","Units","Normal value","0.52"
"2017/18","Fatal injury","60 to 64","","","","","","Rate per 100,000 workers","Units","Normal value","1.27"
"2017/18","Fatal injury","65 and over","","","","","","Rate per 100,000 workers","Units","Normal value","2.42"
"2017/18","Fatal injury","","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.79"
"2017/18","Fatal injury","Under 16","Male","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2017/18","Fatal injury","16 to 24","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.19"
"2017/18","Fatal injury","20 to 24","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.48"
"2017/18","Fatal injury","25 to 34","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.43"
"2017/18","Fatal injury","35 to 44","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.56000000000000005"
"2017/18","Fatal injury","45 to 54","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.53"
"2017/18","Fatal injury","55 to 59","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.94"
"2017/18","Fatal injury","60 to 64","Male","","","","","Rate per 100,000 workers","Units","Normal value","2.3199999999999998"
"2017/18","Fatal injury","65 and over","Male","","","","","Rate per 100,000 workers","Units","Normal value","3.73"
"2017/18","Fatal injury","","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.04"
"2017/18","Fatal injury","Under 16","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2017/18","Fatal injury","16 to 24","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2017/18","Fatal injury","20 to 24","Female","","","","","Rate per 100,000 workers","Units","Normal value","7.0000000000000007E-2"
"2017/18","Fatal injury","25 to 34","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2017/18","Fatal injury","35 to 44","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2017/18","Fatal injury","45 to 54","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.03"
"2017/18","Fatal injury","55 to 59","Female","","","","","Rate per 100,000 workers","Units","Normal value","7.0000000000000007E-2"
"2017/18","Fatal injury","60 to 64","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2017/18","Fatal injury","65 and over","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.42"
"2018/19","Fatal injury","Under 16","","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2018/19","Fatal injury","16 to 24","","","","","","Rate per 100,000 workers","Units","Normal value","0.1"
"2018/19","Fatal injury","20 to 24","","","","","","Rate per 100,000 workers","Units","Normal value","0.33"
"2018/19","Fatal injury","25 to 34","","","","","","Rate per 100,000 workers","Units","Normal value","0.27"
"2018/19","Fatal injury","35 to 44","","","","","","Rate per 100,000 workers","Units","Normal value","0.38"
"2018/19","Fatal injury","45 to 54","","","","","","Rate per 100,000 workers","Units","Normal value","0.53"
"2018/19","Fatal injury","55 to 59","","","","","","Rate per 100,000 workers","Units","Normal value","0.4"
"2018/19","Fatal injury","60 to 64","","","","","","Rate per 100,000 workers","Units","Normal value","0.85"
"2018/19","Fatal injury","65 and over","","","","","","Rate per 100,000 workers","Units","Normal value","1.69"
"2018/19","Fatal injury","","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.83"
"2018/19","Fatal injury","Under 16","Male","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2018/19","Fatal injury","16 to 24","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.19"
"2018/19","Fatal injury","20 to 24","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.56000000000000005"
"2018/19","Fatal injury","25 to 34","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.5"
"2018/19","Fatal injury","35 to 44","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.7"
"2018/19","Fatal injury","45 to 54","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.97"
"2018/19","Fatal injury","55 to 59","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.78"
"2018/19","Fatal injury","60 to 64","Male","","","","","Rate per 100,000 workers","Units","Normal value","1.39"
"2018/19","Fatal injury","65 and over","Male","","","","","Rate per 100,000 workers","Units","Normal value","2.78"
"2018/19","Fatal injury","","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.05"
"2018/19","Fatal injury","Under 16","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2018/19","Fatal injury","16 to 24","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2018/19","Fatal injury","20 to 24","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.08"
"2018/19","Fatal injury","25 to 34","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2018/19","Fatal injury","35 to 44","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.03"
"2018/19","Fatal injury","45 to 54","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.08"
"2018/19","Fatal injury","55 to 59","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2018/19","Fatal injury","60 to 64","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.22"
"2018/19","Fatal injury","65 and over","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2019/20","Fatal injury","Under 16","","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2019/20","Fatal injury","16 to 24","","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2019/20","Fatal injury","20 to 24","","","","","","Rate per 100,000 workers","Units","Normal value","0.28999999999999998"
"2019/20","Fatal injury","25 to 34","","","","","","Rate per 100,000 workers","Units","Normal value","0.27"
"2019/20","Fatal injury","35 to 44","","","","","","Rate per 100,000 workers","Units","Normal value","0.25"
"2019/20","Fatal injury","45 to 54","","","","","","Rate per 100,000 workers","Units","Normal value","0.25"
"2019/20","Fatal injury","55 to 59","","","","","","Rate per 100,000 workers","Units","Normal value","0.45"
"2019/20","Fatal injury","60 to 64","","","","","","Rate per 100,000 workers","Units","Normal value","0.8"
"2019/20","Fatal injury","65 and over","","","","","","Rate per 100,000 workers","Units","Normal value","1.08"
"2019/20","Fatal injury","","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.64"
"2019/20","Fatal injury","Under 16","Male","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2019/20","Fatal injury","16 to 24","Male","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2019/20","Fatal injury","20 to 24","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.56999999999999995"
"2019/20","Fatal injury","25 to 34","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.47"
"2019/20","Fatal injury","35 to 44","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.48"
"2019/20","Fatal injury","45 to 54","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.46"
"2019/20","Fatal injury","55 to 59","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.88"
"2019/20","Fatal injury","60 to 64","Male","","","","","Rate per 100,000 workers","Units","Normal value","1.41"
"2019/20","Fatal injury","65 and over","Male","","","","","Rate per 100,000 workers","Units","Normal value","1.84"
"2019/20","Fatal injury","","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.02"
"2019/20","Fatal injury","Under 16","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2019/20","Fatal injury","16 to 24","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2019/20","Fatal injury","20 to 24","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2019/20","Fatal injury","25 to 34","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.03"
"2019/20","Fatal injury","35 to 44","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2019/20","Fatal injury","45 to 54","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.03"
"2019/20","Fatal injury","55 to 59","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2019/20","Fatal injury","60 to 64","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.1"
"2019/20","Fatal injury","65 and over","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2020/21","Fatal injury","Under 16","","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2020/21","Fatal injury","16 to 24","","","","","","Rate per 100,000 workers","Units","Normal value","0.22"
"2020/21","Fatal injury","20 to 24","","","","","","Rate per 100,000 workers","Units","Normal value","0.3"
"2020/21","Fatal injury","25 to 34","","","","","","Rate per 100,000 workers","Units","Normal value","0.27"
"2020/21","Fatal injury","35 to 44","","","","","","Rate per 100,000 workers","Units","Normal value","0.24"
"2020/21","Fatal injury","45 to 54","","","","","","Rate per 100,000 workers","Units","Normal value","0.37"
"2020/21","Fatal injury","55 to 59","","","","","","Rate per 100,000 workers","Units","Normal value","0.78"
"2020/21","Fatal injury","60 to 64","","","","","","Rate per 100,000 workers","Units","Normal value","1.02"
"2020/21","Fatal injury","65 and over","","","","","","Rate per 100,000 workers","Units","Normal value","1.63"
"2020/21","Fatal injury","","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.83"
"2020/21","Fatal injury","Under 16","Male","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2020/21","Fatal injury","20 to 24","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.59"
"2020/21","Fatal injury","25 to 34","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.48"
"2020/21","Fatal injury","35 to 44","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.45"
"2020/21","Fatal injury","45 to 54","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.73"
"2020/21","Fatal injury","55 to 59","Male","","","","","Rate per 100,000 workers","Units","Normal value","1.46"
"2020/21","Fatal injury","60 to 64","Male","","","","","Rate per 100,000 workers","Units","Normal value","1.83"
"2020/21","Fatal injury","65 and over","Male","","","","","Rate per 100,000 workers","Units","Normal value","2.67"
"2020/21","Fatal injury","","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.03"
"2020/21","Fatal injury","Under 16","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2020/21","Fatal injury","16 to 24","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2020/21","Fatal injury","20 to 24","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2020/21","Fatal injury","25 to 34","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.03"
"2020/21","Fatal injury","35 to 44","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2020/21","Fatal injury","45 to 54","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2020/21","Fatal injury","55 to 59","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.06"
"2020/21","Fatal injury","60 to 64","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.1"
"2020/21","Fatal injury","65 and over","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.19"
"2021/22","Fatal injury","Under 16","","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2021/22","Fatal injury","16 to 24","","","","","","Rate per 100,000 workers","Units","Normal value","0.23"
"2021/22","Fatal injury","25 to 34","","","","","","Rate per 100,000 workers","Units","Normal value","0.19"
"2021/22","Fatal injury","35 to 44","","","","","","Rate per 100,000 workers","Units","Normal value","0.33"
"2021/22","Fatal injury","45 to 54","","","","","","Rate per 100,000 workers","Units","Normal value","0.37"
"2021/22","Fatal injury","55 to 59","","","","","","Rate per 100,000 workers","Units","Normal value","0.47"
"2021/22","Fatal injury","60 to 64","","","","","","Rate per 100,000 workers","Units","Normal value","0.56000000000000005"
"2021/22","Fatal injury","65 and over","","","","","","Rate per 100,000 workers","Units","Normal value","1.34"
"2021/22","Fatal injury","","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.69"
"2021/22","Fatal injury","Under 16","Male","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2021/22","Fatal injury","16 to 24","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.46"
"2021/22","Fatal injury","20 to 24","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.6"
"2021/22","Fatal injury","25 to 34","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.33"
"2021/22","Fatal injury","35 to 44","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.55000000000000004"
"2021/22","Fatal injury","45 to 54","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.73"
"2021/22","Fatal injury","55 to 59","Male","","","","","Rate per 100,000 workers","Units","Normal value","0.88"
"2021/22","Fatal injury","60 to 64","Male","","","","","Rate per 100,000 workers","Units","Normal value","1.04"
"2021/22","Fatal injury","65 and over","Male","","","","","Rate per 100,000 workers","Units","Normal value","2.29"
"2021/22","Fatal injury","","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.04"
"2021/22","Fatal injury","Under 16","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2021/22","Fatal injury","16 to 24","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2021/22","Fatal injury","20 to 24","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.15"
"2021/22","Fatal injury","25 to 34","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.03"
"2021/22","Fatal injury","35 to 44","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.08"
"2021/22","Fatal injury","45 to 54","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2021/22","Fatal injury","55 to 59","Female","","","","","Rate per 100,000 workers","Units","Normal value","0.06"
"2021/22","Fatal injury","60 to 64","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2021/22","Fatal injury","65 and over","Female","","","","","Rate per 100,000 workers","Units","Normal value","0"
"2000/01","Non-fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal Value","3980"
"2001/02","Non-fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal Value","3780"
"2002/03","Non-fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal Value","3800"
"2003/04","Non-fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal Value","3480"
"2004/05","Non-fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal Value","3210"
"2005/06","Non-fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal Value","3030"
"2006/07","Non-fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal Value","3100"
"2007/08","Non-fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal Value","2850"
"2008/09","Non-fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal Value","2570"
"2009/10","Non-fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal Value","2580"
"2010/11","Non-fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal Value","2130"
"2011/12","Non-fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal Value","2090"
"2012/13","Non-fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal Value","2240"
"2013/14","Non-fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal Value","2130"
"2014/15","Non-fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal Value","2030"
"2015/16","Non-fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal Value","2030"
"2016/17","Non-fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal Value","1970"
"2017/18","Non-fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal Value","1770"
"2018/19","Non-fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal Value","1830"
"2019/20","Non-fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal Value","2160"
"2020/21","Non-fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal Value","1410"
"2021/22","Non-fatal injury","","","","","","","Rate per 100,000 workers","Units","Normal Value","1790"
"2001/02-2003/04","Non-fatal injury","","","England","","","","Rate per 100,000 (3 year average)","Units","Estimated Value","3680"
"2004/05-2006/07","Non-fatal injury","","","England","","","","Rate per 100,000 (3 year average)","Units","Estimated Value","3100"
"2007/08-2009/10","Non-fatal injury","","","England","","","","Rate per 100,000 (3 year average)","Units","Estimated Value","2670"
"2007/08-2009/10","Non-fatal injury","55 and over","Male","England","","","","Rate per 100,000 (3 year average)","Units","Estimated Value","2670"
"2010/11-2012/13","Non-fatal injury","55 and over","","England","","Public administration and defence; compulsory social security","","Rate per 100,000 (3 year average)","Units","Estimated Value","2170"
"2010/11-2012/13","Non-fatal injury","55 and over","","England","","Public administration and defence; compulsory social security","","Rate per 100,000 (3 year average)","Units","Estimated Value","2170"
"2013/14-2015/16","Non-fatal injury","","","England","","","","Rate per 100,000 (3 year average)","Units","Estimated Value","2040"
"2016/17-2018/19","Non-fatal injury","","","England","","Transportation and storage","","Rate per 100,000 (3 year average)","Units","Estimated Value","1860"
"2019/20-2021/22","Non-fatal injury","","","England","","","","Rate per 100,000 (3 year average)","Units","Estimated Value","1800"
"2001/02-2003/04","Non-fatal injury","","","England","North East","","","Rate per 100,000 (3 year average)","Units","Estimated Value","4290"
"2004/05-2006/07","Non-fatal injury","","","England","North East","","","Rate per 100,000 (3 year average)","Units","Estimated Value","4150"
"2007/08-2009/10","Non-fatal injury","","","England","North East","","","Rate per 100,000 (3 year average)","Units","Estimated Value","3340"
"2010/11-2012/13","Non-fatal injury","","","England","North East","","","Rate per 100,000 (3 year average)","Units","Estimated Value","2190"
"2013/14-2015/16","Non-fatal injury","35 to 44","","England","North East","","","Rate per 100,000 (3 year average)","Units","Estimated Value","1800"
"2016/17-2018/19","Non-fatal injury","","","England","North East","","","Rate per 100,000 (3 year average)","Units","Estimated Value","1510"
"2019/20-2021/22","Non-fatal injury","16 to 24","Female","England","North East","","","Rate per 100,000 (3 year average)","Units","Estimated Value","2110"
"2001/02-2003/04","Non-fatal injury","","","England","North West","","","Rate per 100,000 (3 year average)","Units","Estimated Value","3440"
"2004/05-2006/07","Non-fatal injury","45 to 54","Female","England","North West","","","Rate per 100,000 (3 year average)","Units","Estimated Value","2720"
"2007/08-2009/10","Non-fatal injury","35 to 44","","England","North West","","","Rate per 100,000 (3 year average)","Units","Estimated Value","2630"
"2010/11-2012/13","Non-fatal injury","","","England","North West","","","Rate per 100,000 (3 year average)","Units","Estimated Value","2090"
"2013/14-2015/16","Non-fatal injury","","","England","North West","","","Rate per 100,000 (3 year average)","Units","Estimated Value","2040"
"2016/17-2018/19","Non-fatal injury","","","England","North West","","","Rate per 100,000 (3 year average)","Units","Estimated Value","1710"
"2019/20-2021/22","Non-fatal injury","55 and over","Male","England","North West","","","Rate per 100,000 (3 year average)","Units","Estimated Value","1850"
"2001/02-2003/04","Non-fatal injury","","","England","Yorkshire and The Humber","","","Rate per 100,000 (3 year average)","Units","Estimated Value","4110"
"2004/05-2006/07","Non-fatal injury","","","England","Yorkshire and The Humber","","","Rate per 100,000 (3 year average)","Units","Estimated Value","3500"
"2007/08-2009/10","Non-fatal injury","","","England","Yorkshire and The Humber","","","Rate per 100,000 (3 year average)","Units","Estimated Value","3010"
"2010/11-2012/13","Non-fatal injury","35 to 44","","England","Yorkshire and The Humber","","","Rate per 100,000 (3 year average)","Units","Estimated Value","2100"
"2013/14-2015/16","Non-fatal injury","","","England","Yorkshire and The Humber","","","Rate per 100,000 (3 year average)","Units","Estimated Value","2160"
"2016/17-2018/19","Non-fatal injury","","","England","Yorkshire and The Humber","","","Rate per 100,000 (3 year average)","Units","Estimated Value","2370"
"2019/20-2021/22","Non-fatal injury","","","England","Yorkshire and The Humber","","","Rate per 100,000 (3 year average)","Units","Estimated Value","2040"
"2001/02-2003/04","Non-fatal injury","","","England","East Midlands","","","Rate per 100,000 (3 year average)","Units","Estimated Value","4100"
"2004/05-2006/07","Non-fatal injury","","","England","East Midlands","","","Rate per 100,000 (3 year average)","Units","Estimated Value","3590"
"2007/08-2009/10","Non-fatal injury","","","England","East Midlands","","","Rate per 100,000 (3 year average)","Units","Estimated Value","2970"
"2010/11-2012/13","Non-fatal injury","","","England","East Midlands","Accommodation and food service activities","","Rate per 100,000 (3 year average)","Units","Estimated Value","2650"
"2013/14-2015/16","Non-fatal injury","","","England","East Midlands","","","Rate per 100,000 (3 year average)","Units","Estimated Value","2640"
"2016/17-2018/19","Non-fatal injury","","","England","East Midlands","","","Rate per 100,000 (3 year average)","Units","Estimated Value","2350"
"2019/20-2021/22","Non-fatal injury","","","England","East Midlands","","","Rate per 100,000 (3 year average)","Units","Estimated Value","1930"
"2001/02-2003/04","Non-fatal injury","55 and over","Male","England","West Midlands","","","Rate per 100,000 (3 year average)","Units","Estimated Value","3580"
"2004/05-2006/07","Non-fatal injury","","","England","West Midlands","","","Rate per 100,000 (3 year average)","Units","Estimated Value","3270"
"2007/08-2009/10","Non-fatal injury","","","England","West Midlands","","","Rate per 100,000 (3 year average)","Units","Estimated Value","2780"
"2010/11-2012/13","Non-fatal injury","","","England","West Midlands","","","Rate per 100,000 (3 year average)","Units","Estimated Value","2050"
"2013/14-2015/16","Non-fatal injury","16 to 24","","England","West Midlands","","","Rate per 100,000 (3 year average)","Units","Estimated Value","2230"
"2016/17-2018/19","Non-fatal injury","","","England","West Midlands","","","Rate per 100,000 (3 year average)","Units","Estimated Value","1530"
"2019/20-2021/22","Non-fatal injury","","","England","West Midlands","Manufacturing","","Rate per 100,000 (3 year average)","Units","Estimated Value","1950"
"2001/02-2003/04","Non-fatal injury","","","England","East","","","Rate per 100,000 (3 year average)","Units","Estimated Value","3760"
"2004/05-2006/07","Non-fatal injury","","","England","East","","","Rate per 100,000 (3 year average)","Units","Estimated Value","2990"
"2007/08-2009/10","Non-fatal injury","","","England","East","","","Rate per 100,000 (3 year average)","Units","Estimated Value","2430"
"2010/11-2012/13","Non-fatal injury","","","England","East","","","Rate per 100,000 (3 year average)","Units","Estimated Value","2280"
"2013/14-2015/16","Non-fatal injury","45 to 54","","England","East","","","Rate per 100,000 (3 year average)","Units","Estimated Value","2220"
"2016/17-2018/19","Non-fatal injury","25 to 34","","England","East","","","Rate per 100,000 (3 year average)","Units","Estimated Value","1970"
"2019/20-2021/22","Non-fatal injury","","","England","East","","","Rate per 100,000 (3 year average)","Units","Estimated Value","1970"
"2001/02-2003/04","Non-fatal injury","","","England","London","","","Rate per 100,000 (3 year average)","Units","Estimated Value","2930"
"2004/05-2006/07","Non-fatal injury","","","England","London","","","Rate per 100,000 (3 year average)","Units","Estimated Value","2330"
"2007/08-2009/10","Non-fatal injury","","","England","London","","","Rate per 100,000 (3 year average)","Units","Estimated Value","1680"
"2010/11-2012/13","Non-fatal injury","","","England","London","","","Rate per 100,000 (3 year average)","Units","Estimated Value","1730"
"2013/14-2015/16","Non-fatal injury","","","England","London","","","Rate per 100,000 (3 year average)","Units","Estimated Value","1380"
"2016/17-2018/19","Non-fatal injury","","","England","London","","","Rate per 100,000 (3 year average)","Units","Estimated Value","1320"
