"Year","Series","Cause of death","Country","Sex","Observation status","Unit multiplier","Units","GeoCode","Value"
2007,"Number of deaths from exposure to forces of nature","Victim of flood","","Male","Normal value","","Number","K04000001","0"
2007,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","Male","Normal value","","Number","K04000001","4"
2008,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","Male","Normal value","","Number","K04000001","3"
2008,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","Male","Normal value","","Number","K04000001","39"
2008,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","Male","Normal value","","Number","K04000001","0"
2008,"Number of deaths from exposure to forces of nature","Victim of lightning","","Male","Normal value","","Number","K04000001","0"
2008,"Number of deaths from exposure to forces of nature","Victim of earthquake","","Male","Normal value","","Number","K04000001","0"
2008,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","Male","Normal value","","Number","K04000001","0"
2008,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","Male","Normal value","","Number","K04000001","0"
2008,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","Male","Normal value","","Number","K04000001","0"
2008,"Number of deaths from exposure to forces of nature","Victim of flood","","Male","Normal value","","Number","K04000001","2"
2008,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","Male","Normal value","","Number","K04000001","3"
2009,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","Male","Normal value","","Number","K04000001","0"
2009,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","Male","Normal value","","Number","K04000001","47"
2009,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","Male","Normal value","","Number","K04000001","0"
2009,"Number of deaths from exposure to forces of nature","Victim of lightning","","Male","Normal value","","Number","K04000001","1"
2009,"Number of deaths from exposure to forces of nature","Victim of earthquake","","Male","Normal value","","Number","K04000001","0"
2009,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","Male","Normal value","","Number","K04000001","0"
2009,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","Male","Normal value","","Number","K04000001","0"
2009,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","Male","Normal value","","Number","K04000001","0"
2009,"Number of deaths from exposure to forces of nature","Victim of flood","","Male","Normal value","","Number","K04000001","0"
2009,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","Male","Normal value","","Number","K04000001","3"
2010,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","Male","Normal value","","Number","K04000001","0"
2010,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","Male","Normal value","","Number","K04000001","68"
2010,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","Male","Normal value","","Number","K04000001","0"
2010,"Number of deaths from exposure to forces of nature","Victim of lightning","","Male","Normal value","","Number","K04000001","0"
2010,"Number of deaths from exposure to forces of nature","Victim of earthquake","","Male","Normal value","","Number","K04000001","0"
2010,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","Male","Normal value","","Number","K04000001","0"
2010,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","Male","Normal value","","Number","K04000001","0"
2010,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","Male","Normal value","","Number","K04000001","0"
2010,"Number of deaths from exposure to forces of nature","Victim of flood","","Male","Normal value","","Number","K04000001","0"
2010,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","Male","Normal value","","Number","K04000001","0"
2011,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","Male","Normal value","","Number","K04000001","1"
2011,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","Male","Normal value","","Number","K04000001","43"
2011,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","Male","Normal value","","Number","K04000001","0"
2011,"Number of deaths from exposure to forces of nature","Victim of lightning","","Male","Normal value","","Number","K04000001","0"
2011,"Number of deaths from exposure to forces of nature","Victim of earthquake","","Male","Normal value","","Number","K04000001","0"
2011,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","Male","Normal value","","Number","K04000001","0"
2011,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","Male","Normal value","","Number","K04000001","0"
2011,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","Male","Normal value","","Number","K04000001","0"
2011,"Number of deaths from exposure to forces of nature","Victim of flood","","Male","Normal value","","Number","K04000001","0"
2011,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","Male","Normal value","","Number","K04000001","0"
2012,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","Male","Normal value","","Number","K04000001","3"
2012,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","Male","Normal value","","Number","K04000001","36"
2012,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","Male","Normal value","","Number","K04000001","0"
2012,"Number of deaths from exposure to forces of nature","Victim of lightning","","Male","Normal value","","Number","K04000001","1"
2012,"Number of deaths from exposure to forces of nature","Victim of earthquake","","Male","Normal value","","Number","K04000001","0"
2012,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","Male","Normal value","","Number","K04000001","0"
2012,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","Male","Normal value","","Number","K04000001","0"
2012,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","Male","Normal value","","Number","K04000001","0"
2012,"Number of deaths from exposure to forces of nature","Victim of flood","","Male","Normal value","","Number","K04000001","0"
2012,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","Male","Normal value","","Number","K04000001","2"
2001,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","Female","Normal value","","Number","K04000001","0"
2001,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","Female","Normal value","","Number","K04000001","65"
2001,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","Female","Normal value","","Number","K04000001","0"
2001,"Number of deaths from exposure to forces of nature","Victim of lightning","","Female","Normal value","","Number","K04000001","0"
2001,"Number of deaths from exposure to forces of nature","Victim of earthquake","","Female","Normal value","","Number","K04000001","0"
2001,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","Female","Normal value","","Number","K04000001","0"
2001,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","Female","Normal value","","Number","K04000001","1"
2001,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","Female","Normal value","","Number","K04000001","0"
2001,"Number of deaths from exposure to forces of nature","Victim of flood","","Female","Normal value","","Number","K04000001","0"
2001,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","Female","Normal value","","Number","K04000001","0"
2002,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","Female","Normal value","","Number","K04000001","0"
2002,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","Female","Normal value","","Number","K04000001","41"
2002,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","Female","Normal value","","Number","K04000001","0"
2002,"Number of deaths from exposure to forces of nature","Victim of lightning","","Female","Normal value","","Number","K04000001","0"
2002,"Number of deaths from exposure to forces of nature","Victim of earthquake","","Female","Normal value","","Number","K04000001","0"
2002,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","Female","Normal value","","Number","K04000001","0"
2002,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","Female","Normal value","","Number","K04000001","0"
2002,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","Female","Normal value","","Number","K04000001","0"
2002,"Number of deaths from exposure to forces of nature","Victim of flood","","Female","Normal value","","Number","K04000001","0"
2002,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","Female","Normal value","","Number","K04000001","2"
2003,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","Female","Normal value","","Number","K04000001","0"
2003,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","Female","Normal value","","Number","K04000001","51"
2003,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","Female","Normal value","","Number","K04000001","0"
2003,"Number of deaths from exposure to forces of nature","Victim of lightning","","Female","Normal value","","Number","K04000001","0"
2003,"Number of deaths from exposure to forces of nature","Victim of earthquake","","Female","Normal value","","Number","K04000001","0"
2003,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","Female","Normal value","","Number","K04000001","0"
2003,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","Female","Normal value","","Number","K04000001","0"
2003,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","Female","Normal value","","Number","K04000001","0"
2003,"Number of deaths from exposure to forces of nature","Victim of flood","","Female","Normal value","","Number","K04000001","0"
2003,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","Female","Normal value","","Number","K04000001","0"
2004,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","Female","Normal value","","Number","K04000001","2"
2004,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","Female","Normal value","","Number","K04000001","40"
2004,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","Female","Normal value","","Number","K04000001","0"
2004,"Number of deaths from exposure to forces of nature","Victim of lightning","","Female","Normal value","","Number","K04000001","0"
2004,"Number of deaths from exposure to forces of nature","Victim of earthquake","","Female","Normal value","","Number","K04000001","0"
2004,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","Female","Normal value","","Number","K04000001","0"
2004,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","Female","Normal value","","Number","K04000001","0"
2004,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","Female","Normal value","","Number","K04000001","0"
2004,"Number of deaths from exposure to forces of nature","Victim of flood","","Female","Normal value","","Number","K04000001","0"
2004,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","Female","Normal value","","Number","K04000001","2"
2005,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","Female","Normal value","","Number","K04000001","1"
2005,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","Female","Normal value","","Number","K04000001","43"
2005,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","Female","Normal value","","Number","K04000001","0"
2005,"Number of deaths from exposure to forces of nature","Victim of lightning","","Female","Normal value","","Number","K04000001","0"
2005,"Number of deaths from exposure to forces of nature","Victim of earthquake","","Female","Normal value","","Number","K04000001","0"
2005,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","Female","Normal value","","Number","K04000001","0"
2005,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","Female","Normal value","","Number","K04000001","0"
2005,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","Female","Normal value","","Number","K04000001","0"
2005,"Number of deaths from exposure to forces of nature","Victim of flood","","Female","Normal value","","Number","K04000001","2"
2005,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","Female","Normal value","","Number","K04000001","0"
2006,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","Female","Normal value","","Number","K04000001","0"
2006,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","Female","Normal value","","Number","K04000001","44"
2006,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","Female","Normal value","","Number","K04000001","1"
2006,"Number of deaths from exposure to forces of nature","Victim of lightning","","Female","Normal value","","Number","K04000001","0"
2006,"Number of deaths from exposure to forces of nature","Victim of earthquake","","Female","Normal value","","Number","K04000001","0"
2006,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","Female","Normal value","","Number","K04000001","0"
2006,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","Female","Normal value","","Number","K04000001","0"
2006,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","Female","Normal value","","Number","K04000001","0"
2006,"Number of deaths from exposure to forces of nature","Victim of flood","","Female","Normal value","","Number","K04000001","0"
2006,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","Female","Normal value","","Number","K04000001","2"
2007,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","Female","Normal value","","Number","K04000001","0"
2007,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","Female","Normal value","","Number","K04000001","55"
2007,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","Female","Normal value","","Number","K04000001","0"
2007,"Number of deaths from exposure to forces of nature","Victim of lightning","","Female","Normal value","","Number","K04000001","1"
2007,"Number of deaths from exposure to forces of nature","Victim of earthquake","","Female","Normal value","","Number","K04000001","0"
2007,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","Female","Normal value","","Number","K04000001","0"
2007,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","Female","Normal value","","Number","K04000001","0"
2007,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","Female","Normal value","","Number","K04000001","0"
2007,"Number of deaths from exposure to forces of nature","Victim of flood","","Female","Normal value","","Number","K04000001","0"
2007,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","Female","Normal value","","Number","K04000001","3"
2008,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","Female","Normal value","","Number","K04000001","0"
2008,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","Female","Normal value","","Number","K04000001","67"
2008,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","Female","Normal value","","Number","K04000001","0"
2008,"Number of deaths from exposure to forces of nature","Victim of lightning","","Female","Normal value","","Number","K04000001","0"
2008,"Number of deaths from exposure to forces of nature","Victim of earthquake","","Female","Normal value","","Number","K04000001","0"
2008,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","Female","Normal value","","Number","K04000001","0"
2008,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","Female","Normal value","","Number","K04000001","0"
2008,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","Female","Normal value","","Number","K04000001","0"
2008,"Number of deaths from exposure to forces of nature","Victim of flood","","Female","Normal value","","Number","K04000001","0"
2008,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","Female","Normal value","","Number","K04000001","2"
2009,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","Female","Normal value","","Number","K04000001","1"
2009,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","Female","Normal value","","Number","K04000001","69"
2009,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","Female","Normal value","","Number","K04000001","0"
2009,"Number of deaths from exposure to forces of nature","Victim of lightning","","Female","Normal value","","Number","K04000001","0"
2009,"Number of deaths from exposure to forces of nature","Victim of earthquake","","Female","Normal value","","Number","K04000001","0"
2009,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","Female","Normal value","","Number","K04000001","0"
2009,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","Female","Normal value","","Number","K04000001","0"
2009,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","Female","Normal value","","Number","K04000001","0"
2009,"Number of deaths from exposure to forces of nature","Victim of flood","","Female","Normal value","","Number","K04000001","0"
2009,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","Female","Normal value","","Number","K04000001","3"
2010,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","Female","Normal value","","Number","K04000001","0"
2010,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","Female","Normal value","","Number","K04000001","61"
2010,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","Female","Normal value","","Number","K04000001","0"
2010,"Number of deaths from exposure to forces of nature","Victim of lightning","","Female","Normal value","","Number","K04000001","0"
2010,"Number of deaths from exposure to forces of nature","Victim of earthquake","","Female","Normal value","","Number","K04000001","0"
2010,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","Female","Normal value","","Number","K04000001","0"
2010,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","Female","Normal value","","Number","K04000001","0"
2010,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","Female","Normal value","","Number","K04000001","0"
2010,"Number of deaths from exposure to forces of nature","Victim of flood","","Female","Normal value","","Number","K04000001","0"
2010,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","Female","Normal value","","Number","K04000001","0"
2011,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","Female","Normal value","","Number","K04000001","0"
2011,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","Female","Normal value","","Number","K04000001","33"
2011,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","Female","Normal value","","Number","K04000001","0"
2011,"Number of deaths from exposure to forces of nature","Victim of lightning","","Female","Normal value","","Number","K04000001","0"
2011,"Number of deaths from exposure to forces of nature","Victim of earthquake","","Female","Normal value","","Number","K04000001","0"
2011,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","Female","Normal value","","Number","K04000001","0"
2011,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","Female","Normal value","","Number","K04000001","0"
2011,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","Female","Normal value","","Number","K04000001","0"
2011,"Number of deaths from exposure to forces of nature","Victim of flood","","Female","Normal value","","Number","K04000001","0"
2011,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","Female","Normal value","","Number","K04000001","2"
2012,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","","Female","Normal value","","Number","K04000001","1"
2012,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","","Female","Normal value","","Number","K04000001","38"
2012,"Number of deaths from exposure to forces of nature","Exposure to sunlight","","Female","Normal value","","Number","K04000001","0"
2012,"Number of deaths from exposure to forces of nature","Victim of lightning","","Female","Normal value","","Number","K04000001","0"
2012,"Number of deaths from exposure to forces of nature","Victim of earthquake","","Female","Normal value","","Number","K04000001","0"
2012,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","","Female","Normal value","","Number","K04000001","0"
2012,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","","Female","Normal value","","Number","K04000001","0"
2012,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","","Female","Normal value","","Number","K04000001","0"
2012,"Number of deaths from exposure to forces of nature","Victim of flood","","Female","Normal value","","Number","K04000001","0"
2012,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","","Female","Normal value","","Number","K04000001","1"
2001,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","England","Male","Normal value","","Number","E92000001","0"
2001,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","England","Male","Normal value","","Number","E92000001","57"
2001,"Number of deaths from exposure to forces of nature","Exposure to sunlight","England","Male","Normal value","","Number","E92000001","0"
2001,"Number of deaths from exposure to forces of nature","Victim of lightning","England","Male","Normal value","","Number","E92000001","0"
2001,"Number of deaths from exposure to forces of nature","Victim of earthquake","England","Male","Normal value","","Number","E92000001","0"
2001,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","England","Male","Normal value","","Number","E92000001","0"
2001,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","England","Male","Normal value","","Number","E92000001","0"
2001,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","England","Male","Normal value","","Number","E92000001","0"
2001,"Number of deaths from exposure to forces of nature","Victim of flood","England","Male","Normal value","","Number","E92000001","0"
2001,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","England","Male","Normal value","","Number","E92000001","2"
2002,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","England","Male","Normal value","","Number","E92000001","0"
2002,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","England","Male","Normal value","","Number","E92000001","44"
2002,"Number of deaths from exposure to forces of nature","Exposure to sunlight","England","Male","Normal value","","Number","E92000001","0"
2002,"Number of deaths from exposure to forces of nature","Victim of lightning","England","Male","Normal value","","Number","E92000001","0"
2002,"Number of deaths from exposure to forces of nature","Victim of earthquake","England","Male","Normal value","","Number","E92000001","0"
2002,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","England","Male","Normal value","","Number","E92000001","0"
2002,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","England","Male","Normal value","","Number","E92000001","0"
2002,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","England","Male","Normal value","","Number","E92000001","0"
2002,"Number of deaths from exposure to forces of nature","Victim of flood","England","Male","Normal value","","Number","E92000001","0"
2002,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","England","Male","Normal value","","Number","E92000001","2"
2003,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","England","Male","Normal value","","Number","E92000001","0"
2003,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","England","Male","Normal value","","Number","E92000001","38"
2003,"Number of deaths from exposure to forces of nature","Exposure to sunlight","England","Male","Normal value","","Number","E92000001","0"
2003,"Number of deaths from exposure to forces of nature","Victim of lightning","England","Male","Normal value","","Number","E92000001","2"
2003,"Number of deaths from exposure to forces of nature","Victim of earthquake","England","Male","Normal value","","Number","E92000001","0"
2003,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","England","Male","Normal value","","Number","E92000001","0"
2003,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","England","Male","Normal value","","Number","E92000001","0"
2003,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","England","Male","Normal value","","Number","E92000001","0"
2003,"Number of deaths from exposure to forces of nature","Victim of flood","England","Male","Normal value","","Number","E92000001","0"
2003,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","England","Male","Normal value","","Number","E92000001","2"
2004,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","England","Male","Normal value","","Number","E92000001","1"
2004,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","England","Male","Normal value","","Number","E92000001","43"
2004,"Number of deaths from exposure to forces of nature","Exposure to sunlight","England","Male","Normal value","","Number","E92000001","0"
2004,"Number of deaths from exposure to forces of nature","Victim of lightning","England","Male","Normal value","","Number","E92000001","1"
2004,"Number of deaths from exposure to forces of nature","Victim of earthquake","England","Male","Normal value","","Number","E92000001","0"
2004,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","England","Male","Normal value","","Number","E92000001","0"
2004,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","England","Male","Normal value","","Number","E92000001","0"
2004,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","England","Male","Normal value","","Number","E92000001","0"
2004,"Number of deaths from exposure to forces of nature","Victim of flood","England","Male","Normal value","","Number","E92000001","0"
2004,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","England","Male","Normal value","","Number","E92000001","3"
2005,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","England","Male","Normal value","","Number","E92000001","0"
2005,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","England","Male","Normal value","","Number","E92000001","35"
2005,"Number of deaths from exposure to forces of nature","Exposure to sunlight","England","Male","Normal value","","Number","E92000001","0"
2005,"Number of deaths from exposure to forces of nature","Victim of lightning","England","Male","Normal value","","Number","E92000001","2"
2005,"Number of deaths from exposure to forces of nature","Victim of earthquake","England","Male","Normal value","","Number","E92000001","0"
2005,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","England","Male","Normal value","","Number","E92000001","0"
2005,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","England","Male","Normal value","","Number","E92000001","0"
2005,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","England","Male","Normal value","","Number","E92000001","2"
2005,"Number of deaths from exposure to forces of nature","Victim of flood","England","Male","Normal value","","Number","E92000001","0"
2005,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","England","Male","Normal value","","Number","E92000001","4"
2006,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","England","Male","Normal value","","Number","E92000001","2"
2006,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","England","Male","Normal value","","Number","E92000001","42"
2006,"Number of deaths from exposure to forces of nature","Exposure to sunlight","England","Male","Normal value","","Number","E92000001","0"
2006,"Number of deaths from exposure to forces of nature","Victim of lightning","England","Male","Normal value","","Number","E92000001","1"
2006,"Number of deaths from exposure to forces of nature","Victim of earthquake","England","Male","Normal value","","Number","E92000001","0"
2006,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","England","Male","Normal value","","Number","E92000001","0"
2006,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","England","Male","Normal value","","Number","E92000001","0"
2006,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","England","Male","Normal value","","Number","E92000001","0"
2006,"Number of deaths from exposure to forces of nature","Victim of flood","England","Male","Normal value","","Number","E92000001","0"
2006,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","England","Male","Normal value","","Number","E92000001","1"
2007,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","England","Male","Normal value","","Number","E92000001","1"
2007,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","England","Male","Normal value","","Number","E92000001","41"
2007,"Number of deaths from exposure to forces of nature","Exposure to sunlight","England","Male","Normal value","","Number","E92000001","0"
2007,"Number of deaths from exposure to forces of nature","Victim of lightning","England","Male","Normal value","","Number","E92000001","1"
2007,"Number of deaths from exposure to forces of nature","Victim of earthquake","England","Male","Normal value","","Number","E92000001","0"
2007,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","England","Male","Normal value","","Number","E92000001","0"
2007,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","England","Male","Normal value","","Number","E92000001","0"
2007,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","England","Male","Normal value","","Number","E92000001","0"
2007,"Number of deaths from exposure to forces of nature","Victim of flood","England","Male","Normal value","","Number","E92000001","0"
2007,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","England","Male","Normal value","","Number","E92000001","4"
2008,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","England","Male","Normal value","","Number","E92000001","3"
2008,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","England","Male","Normal value","","Number","E92000001","37"
2008,"Number of deaths from exposure to forces of nature","Exposure to sunlight","England","Male","Normal value","","Number","E92000001","0"
2008,"Number of deaths from exposure to forces of nature","Victim of lightning","England","Male","Normal value","","Number","E92000001","0"
2008,"Number of deaths from exposure to forces of nature","Victim of earthquake","England","Male","Normal value","","Number","E92000001","0"
2008,"Number of deaths from exposure to forces of nature","Victim of volcanic eruption","England","Male","Normal value","","Number","E92000001","0"
2008,"Number of deaths from exposure to forces of nature","Victim of avalanche, landslide and other earth movements","England","Male","Normal value","","Number","E92000001","0"
2008,"Number of deaths from exposure to forces of nature","Victim of cataclysmic storm","England","Male","Normal value","","Number","E92000001","0"
2008,"Number of deaths from exposure to forces of nature","Victim of flood","England","Male","Normal value","","Number","E92000001","2"
2008,"Number of deaths from exposure to forces of nature","Exposure to other and unspecified forces of nature","England","Male","Normal value","","Number","E92000001","2"
2009,"Number of deaths from exposure to forces of nature","Exposure to excessive natural heat","England","Male","Normal value","","Number","E92000001","0"
2009,"Number of deaths from exposure to forces of nature","Exposure to excessive natural cold","England","Male","Normal value","","Number","E92000001","43"
2009,"Number of deaths from exposure to forces of nature","Exposure to sunlight","England","Male","Normal value","","Number","E92000001","0"
2009,"Number of deaths from exposure to forces of nature","Victim of lightning","England","Male","Normal value","","Number","E92000001","1"
