PHE_Centre,Local_Authority,Area_Code_GSS,Alcohol_dependent,Alcohol_lower_CI,Alcohol_upper_CI,Year
NA,Rochdale,E08000005,3248,NA,NA,2013
NA,Rochdale,E08000005,3260,NA,NA,2014
NA,Rotherham,E08000018,3307,NA,NA,2010
NA,Rotherham,E08000018,3327,NA,NA,2011
NA,Rotherham,E08000018,3285,NA,NA,2012
NA,Rotherham,E08000018,3353,NA,NA,2013
NA,Rotherham,E08000018,3343,NA,NA,2014
NA,Rutland,E06000017,241,NA,NA,2010
NA,Rutland,E06000017,240,NA,NA,2011
NA,Rutland,E06000017,243,NA,NA,2012
NA,Rutland,E06000017,242,NA,NA,2013
NA,Rutland,E06000017,243,NA,NA,2014
NA,Salford,E08000006,4485,NA,NA,2010
NA,Salford,E08000006,4405,NA,NA,2011
NA,Salford,E08000006,4361,NA,NA,2012
NA,Salford,E08000006,4666,NA,NA,2013
NA,Salford,E08000006,4684,NA,NA,2014
NA,Sandwell,E08000028,4442,NA,NA,2010
NA,Sandwell,E08000028,4455,NA,NA,2011
NA,Sandwell,E08000028,4450,NA,NA,2012
NA,Sandwell,E08000028,4690,NA,NA,2013
NA,Sandwell,E08000028,4673,NA,NA,2014
NA,Sefton,E08000014,4097,NA,NA,2010
NA,Sefton,E08000014,4128,NA,NA,2011
NA,Sefton,E08000014,4121,NA,NA,2012
NA,Sefton,E08000014,4314,NA,NA,2013
NA,Sefton,E08000014,4290,NA,NA,2014
NA,Sheffield,E08000019,6819,NA,NA,2010
NA,Sheffield,E08000019,6809,NA,NA,2011
NA,Sheffield,E08000019,6794,NA,NA,2012
NA,Sheffield,E08000019,7018,NA,NA,2013
NA,Sheffield,E08000019,6925,NA,NA,2014
NA,Shropshire,E06000051,2826,NA,NA,2010
NA,Shropshire,E06000051,2815,NA,NA,2011
NA,Shropshire,E06000051,2814,NA,NA,2012
NA,Shropshire,E06000051,2871,NA,NA,2013
NA,Shropshire,E06000051,2883,NA,NA,2014
NA,Slough,E06000039,1451,NA,NA,2010
NA,Slough,E06000039,1447,NA,NA,2011
NA,Slough,E06000039,1439,NA,NA,2012
NA,Slough,E06000039,1500,NA,NA,2013
NA,Slough,E06000039,1513,NA,NA,2014
NA,Solihull,E08000029,1760,NA,NA,2010
NA,Solihull,E08000029,1766,NA,NA,2011
NA,Solihull,E08000029,1744,NA,NA,2012
NA,Solihull,E08000029,1795,NA,NA,2013
NA,Solihull,E08000029,1796,NA,NA,2014
NA,Somerset,E10000027,4944,NA,NA,2010
NA,Somerset,E10000027,4938,NA,NA,2011
NA,Somerset,E10000027,4961,NA,NA,2012
NA,Somerset,E10000027,5067,NA,NA,2013
NA,Somerset,E10000027,5058,NA,NA,2014
NA,South Gloucestershire,E06000025,2079,NA,NA,2010
NA,South Gloucestershire,E06000025,2074,NA,NA,2011
NA,South Gloucestershire,E06000025,2078,NA,NA,2012
NA,South Gloucestershire,E06000025,2111,NA,NA,2013
NA,South Gloucestershire,E06000025,2118,NA,NA,2014
NA,South Tyneside,E08000023,1929,NA,NA,2010
NA,South Tyneside,E08000023,1906,NA,NA,2011
NA,South Tyneside,E08000023,1905,NA,NA,2012
NA,South Tyneside,E08000023,1994,NA,NA,2013
NA,South Tyneside,E08000023,1960,NA,NA,2014
NA,Southampton,E06000045,3360,NA,NA,2010
NA,Southampton,E06000045,3340,NA,NA,2011
NA,Southampton,E06000045,3363,NA,NA,2012
NA,Southampton,E06000045,3465,NA,NA,2013
NA,Southampton,E06000045,3459,NA,NA,2014
NA,Southend-on-Sea,E06000033,2031,NA,NA,2010
NA,Southend-on-Sea,E06000033,2042,NA,NA,2011
NA,Southend-on-Sea,E06000033,2020,NA,NA,2012
NA,Southend-on-Sea,E06000033,2082,NA,NA,2013
NA,Southend-on-Sea,E06000033,2091,NA,NA,2014
NA,Southwark,E09000028,3972,NA,NA,2010
NA,Southwark,E09000028,3964,NA,NA,2011
NA,Southwark,E09000028,3956,NA,NA,2012
NA,Southwark,E09000028,4056,NA,NA,2013
NA,Southwark,E09000028,4088,NA,NA,2014
NA,St. Helens,E08000013,2782,NA,NA,2010
NA,St. Helens,E08000013,2783,NA,NA,2011
NA,St. Helens,E08000013,2769,NA,NA,2012
NA,St. Helens,E08000013,2883,NA,NA,2013
NA,St. Helens,E08000013,2907,NA,NA,2014
NA,Staffordshire,E10000028,8310,NA,NA,2010
NA,Staffordshire,E10000028,8280,NA,NA,2011
NA,Staffordshire,E10000028,8291,NA,NA,2012
NA,Staffordshire,E10000028,8436,NA,NA,2013
NA,Staffordshire,E10000028,8451,NA,NA,2014
NA,Stockport,E08000007,3216,NA,NA,2010
NA,Stockport,E08000007,3235,NA,NA,2011
NA,Stockport,E08000007,3228,NA,NA,2012
NA,Stockport,E08000007,3381,NA,NA,2013
NA,Stockport,E08000007,3352,NA,NA,2014
NA,Stockton-on-Tees,E06000004,2110,NA,NA,2010
NA,Stockton-on-Tees,E06000004,2088,NA,NA,2011
NA,Stockton-on-Tees,E06000004,2089,NA,NA,2012
NA,Stockton-on-Tees,E06000004,2128,NA,NA,2013
NA,Stockton-on-Tees,E06000004,2142,NA,NA,2014
NA,Stoke-on-Trent,E06000021,3750,NA,NA,2010
NA,Stoke-on-Trent,E06000021,3748,NA,NA,2011
NA,Stoke-on-Trent,E06000021,3758,NA,NA,2012
NA,Stoke-on-Trent,E06000021,3863,NA,NA,2013
NA,Stoke-on-Trent,E06000021,3864,NA,NA,2014
NA,Suffolk,E10000029,6468,NA,NA,2010
NA,Suffolk,E10000029,6458,NA,NA,2011
NA,Suffolk,E10000029,6464,NA,NA,2012
NA,Suffolk,E10000029,6594,NA,NA,2013
NA,Suffolk,E10000029,6571,NA,NA,2014
NA,Sunderland,E08000024,4538,NA,NA,2010
NA,Sunderland,E08000024,4559,NA,NA,2011
NA,Sunderland,E08000024,4495,NA,NA,2012
NA,Sunderland,E08000024,4720,NA,NA,2013
NA,Sunderland,E08000024,4633,NA,NA,2014
NA,Surrey,E10000030,7640,NA,NA,2010
NA,Surrey,E10000030,7661,NA,NA,2011
NA,Surrey,E10000030,7646,NA,NA,2012
NA,Surrey,E10000030,7798,NA,NA,2013
NA,Surrey,E10000030,7773,NA,NA,2014
NA,Sutton,E09000029,1941,NA,NA,2010
NA,Sutton,E09000029,1939,NA,NA,2011
NA,Sutton,E09000029,1941,NA,NA,2012
NA,Sutton,E09000029,1993,NA,NA,2013
NA,Sutton,E09000029,1986,NA,NA,2014
NA,Swindon,E06000030,1898,NA,NA,2010
NA,Swindon,E06000030,1896,NA,NA,2011
NA,Swindon,E06000030,1891,NA,NA,2012
NA,Swindon,E06000030,1958,NA,NA,2013
NA,Swindon,E06000030,1951,NA,NA,2014
NA,Tameside,E08000008,3544,NA,NA,2010
NA,Tameside,E08000008,3577,NA,NA,2011
NA,Tameside,E08000008,3559,NA,NA,2012
NA,Tameside,E08000008,3749,NA,NA,2013
NA,Tameside,E08000008,3723,NA,NA,2014
NA,Telford and Wrekin,E06000020,1878,NA,NA,2010
NA,Telford and Wrekin,E06000020,1906,NA,NA,2011
NA,Telford and Wrekin,E06000020,1903,NA,NA,2012
NA,Telford and Wrekin,E06000020,1943,NA,NA,2013
NA,Telford and Wrekin,E06000020,1949,NA,NA,2014
NA,Thurrock,E06000034,1453,NA,NA,2010
NA,Thurrock,E06000034,1448,NA,NA,2011
NA,Thurrock,E06000034,1444,NA,NA,2012
NA,Thurrock,E06000034,1458,NA,NA,2013
NA,Thurrock,E06000034,1466,NA,NA,2014
NA,Torbay,E06000027,1629,NA,NA,2010
NA,Torbay,E06000027,1617,NA,NA,2011
NA,Torbay,E06000027,1598,NA,NA,2012
NA,Torbay,E06000027,1679,NA,NA,2013
NA,Torbay,E06000027,1666,NA,NA,2014
NA,Tower Hamlets,E09000030,3370,NA,NA,2010
NA,Tower Hamlets,E09000030,3370,NA,NA,2011
NA,Tower Hamlets,E09000030,3365,NA,NA,2012
NA,Tower Hamlets,E09000030,3422,NA,NA,2013
NA,Tower Hamlets,E09000030,3427,NA,NA,2014
NA,Trafford,E08000009,2263,NA,NA,2010
NA,Trafford,E08000009,2253,NA,NA,2011
NA,Trafford,E08000009,2232,NA,NA,2012
NA,Trafford,E08000009,2336,NA,NA,2013
NA,Trafford,E08000009,2330,NA,NA,2014
NA,Wakefield,E08000036,4322,NA,NA,2010
NA,Wakefield,E08000036,4321,NA,NA,2011
NA,Wakefield,E08000036,4366,NA,NA,2012
NA,Wakefield,E08000036,4530,NA,NA,2013
NA,Wakefield,E08000036,4500,NA,NA,2014
NA,Walsall,E08000030,3242,NA,NA,2010
NA,Walsall,E08000030,3276,NA,NA,2011
NA,Walsall,E08000030,3246,NA,NA,2012
NA,Walsall,E08000030,3335,NA,NA,2013
NA,Walsall,E08000030,3364,NA,NA,2014
NA,Waltham Forest,E09000031,2904,NA,NA,2010
NA,Waltham Forest,E09000031,2889,NA,NA,2011
NA,Waltham Forest,E09000031,2898,NA,NA,2012
NA,Waltham Forest,E09000031,2982,NA,NA,2013
NA,Waltham Forest,E09000031,2948,NA,NA,2014
NA,Wandsworth,E09000032,3688,NA,NA,2010
NA,Wandsworth,E09000032,3685,NA,NA,2011
NA,Wandsworth,E09000032,3701,NA,NA,2012
NA,Wandsworth,E09000032,3776,NA,NA,2013
NA,Wandsworth,E09000032,3743,NA,NA,2014
NA,Warrington,E06000007,2355,NA,NA,2010
NA,Warrington,E06000007,2320,NA,NA,2011
NA,Warrington,E06000007,2321,NA,NA,2012
NA,Warrington,E06000007,2381,NA,NA,2013
NA,Warrington,E06000007,2380,NA,NA,2014
NA,Warwickshire,E10000031,4880,NA,NA,2010
NA,Warwickshire,E10000031,4827,NA,NA,2011
NA,Warwickshire,E10000031,4839,NA,NA,2012
NA,Warwickshire,E10000031,4961,NA,NA,2013
NA,Warwickshire,E10000031,4937,NA,NA,2014
NA,West Berkshire,E06000037,1055,NA,NA,2010
NA,West Berkshire,E06000037,1058,NA,NA,2011
NA,West Berkshire,E06000037,1056,NA,NA,2012
NA,West Berkshire,E06000037,1078,NA,NA,2013
NA,West Berkshire,E06000037,1074,NA,NA,2014
NA,West Sussex,E10000032,6837,NA,NA,2010
NA,West Sussex,E10000032,6837,NA,NA,2011
NA,West Sussex,E10000032,6824,NA,NA,2012
NA,West Sussex,E10000032,6986,NA,NA,2013
NA,West Sussex,E10000032,6967,NA,NA,2014
NA,Westminster,E09000033,2706,NA,NA,2010
NA,Westminster,E09000033,2669,NA,NA,2011
NA,Westminster,E09000033,2695,NA,NA,2012
NA,Westminster,E09000033,2759,NA,NA,2013
NA,Westminster,E09000033,2728,NA,NA,2014
NA,Wigan,E08000010,4336,NA,NA,2010
NA,Wigan,E08000010,4351,NA,NA,2011
NA,Wigan,E08000010,4304,NA,NA,2012
NA,Wigan,E08000010,4489,NA,NA,2013
NA,Wigan,E08000010,4484,NA,NA,2014
NA,Wiltshire,E06000054,3687,NA,NA,2010
NA,Wiltshire,E06000054,3694,NA,NA,2011
NA,Wiltshire,E06000054,3696,NA,NA,2012
NA,Wiltshire,E06000054,3787,NA,NA,2013
NA,Wiltshire,E06000054,3777,NA,NA,2014
NA,Windsor and Maidenhead,E06000040,950,NA,NA,2010
NA,Windsor and Maidenhead,E06000040,956,NA,NA,2011
NA,Windsor and Maidenhead,E06000040,954,NA,NA,2012
NA,Windsor and Maidenhead,E06000040,974,NA,NA,2013
NA,Windsor and Maidenhead,E06000040,982,NA,NA,2014
NA,Wirral,E08000015,4631,NA,NA,2010
NA,Wirral,E08000015,4661,NA,NA,2011
NA,Wirral,E08000015,4623,NA,NA,2012
NA,Wirral,E08000015,4906,NA,NA,2013
NA,Wirral,E08000015,4891,NA,NA,2014
NA,Wokingham,E06000041,767,NA,NA,2010
NA,Wokingham,E06000041,765,NA,NA,2011
NA,Wokingham,E06000041,768,NA,NA,2012
NA,Wokingham,E06000041,774,NA,NA,2013
NA,Wokingham,E06000041,777,NA,NA,2014
NA,Wolverhampton,E08000031,3453,NA,NA,2010
NA,Wolverhampton,E08000031,3443,NA,NA,2011
NA,Wolverhampton,E08000031,3427,NA,NA,2012
NA,Wolverhampton,E08000031,3613,NA,NA,2013
NA,Wolverhampton,E08000031,3591,NA,NA,2014
NA,Worcestershire,E10000034,5282,NA,NA,2010
NA,Worcestershire,E10000034,5292,NA,NA,2011
NA,Worcestershire,E10000034,5293,NA,NA,2012
NA,Worcestershire,E10000034,5400,NA,NA,2013
NA,Worcestershire,E10000034,5407,NA,NA,2014
NA,York,E06000014,2234,NA,NA,2010
NA,York,E06000014,2225,NA,NA,2011
NA,York,E06000014,2234,NA,NA,2012
NA,York,E06000014,2315,NA,NA,2013
NA,York,E06000014,2331,NA,NA,2014
