"Year","Series","Drug group","Local authority","Sex","Age","Ethnicity","Units","Observation status","Value"
"2010/11","People in treatment","Opiate","","Male","18 to 29","Asian","Number","Normal value",1663
"2010/11","People in treatment","Opiate","","Male","30 to 49","Asian","Number","Normal value",3813
"2010/11","People in treatment","Opiate","","Male","50 and over","Asian","Number","Normal value",291
"2010/11","People in treatment","Opiate","","Female","","Asian","Number","Normal value",426
"2010/11","People in treatment","Opiate","","Female","18 to 29","Asian","Number","Normal value",191
"2010/11","People in treatment","Opiate","","Female","30 to 49","Asian","Number","Normal value",222
"2010/11","People in treatment","Opiate","","Female","50 and over","Asian","Number","Normal value",13
"2011/12","People in treatment","Opiate","","","","Asian","Number","Normal value",5896
"2011/12","People in treatment","Opiate","","","18 to 29","Asian","Number","Normal value",1412
"2011/12","People in treatment","Opiate","","","30 to 49","Asian","Number","Normal value",4161
"2011/12","People in treatment","Opiate","","","50 and over","Asian","Number","Normal value",323
"2011/12","People in treatment","Opiate","","Male","","Asian","Number","Normal value",5518
"2011/12","People in treatment","Opiate","","Male","18 to 29","Asian","Number","Normal value",1265
"2011/12","People in treatment","Opiate","","Male","30 to 49","Asian","Number","Normal value",3945
"2011/12","People in treatment","Opiate","","Male","50 and over","Asian","Number","Normal value",308
"2011/12","People in treatment","Opiate","","Female","","Asian","Number","Normal value",378
"2011/12","People in treatment","Opiate","","Female","18 to 29","Asian","Number","Normal value",147
"2011/12","People in treatment","Opiate","","Female","30 to 49","Asian","Number","Normal value",216
"2011/12","People in treatment","Opiate","","Female","50 and over","Asian","Number","Normal value",15
"2012/13","People in treatment","Opiate","","","","Asian","Number","Normal value",5751
"2012/13","People in treatment","Opiate","","","18 to 29","Asian","Number","Normal value",1158
"2012/13","People in treatment","Opiate","","","30 to 49","Asian","Number","Normal value",4257
"2012/13","People in treatment","Opiate","","","50 and over","Asian","Number","Normal value",336
"2012/13","People in treatment","Opiate","","Male","","Asian","Number","Normal value",5411
"2012/13","People in treatment","Opiate","","Male","18 to 29","Asian","Number","Normal value",1063
"2012/13","People in treatment","Opiate","","Male","30 to 49","Asian","Number","Normal value",4025
"2012/13","People in treatment","Opiate","","Male","50 and over","Asian","Number","Normal value",323
"2012/13","People in treatment","Opiate","","Female","","Asian","Number","Normal value",340
"2012/13","People in treatment","Opiate","","Female","18 to 29","Asian","Number","Normal value",95
"2012/13","People in treatment","Opiate","","Female","30 to 49","Asian","Number","Normal value",232
"2012/13","People in treatment","Opiate","","Female","50 and over","Asian","Number","Normal value",13
"2013/14","People in treatment","Opiate","","","","Asian","Number","Normal value",5861
"2013/14","People in treatment","Opiate","","","18 to 29","Asian","Number","Normal value",984
"2013/14","People in treatment","Opiate","","","30 to 49","Asian","Number","Normal value",4501
"2013/14","People in treatment","Opiate","","","50 and over","Asian","Number","Normal value",376
"2013/14","People in treatment","Opiate","","Male","","Asian","Number","Normal value",5538
"2013/14","People in treatment","Opiate","","Male","18 to 29","Asian","Number","Normal value",905
"2013/14","People in treatment","Opiate","","Male","30 to 49","Asian","Number","Normal value",4266
"2013/14","People in treatment","Opiate","","Male","50 and over","Asian","Number","Normal value",367
"2013/14","People in treatment","Opiate","","Female","","Asian","Number","Normal value",323
"2013/14","People in treatment","Opiate","","Female","18 to 29","Asian","Number","Normal value",79
"2013/14","People in treatment","Opiate","","Female","30 to 49","Asian","Number","Normal value",235
"2013/14","People in treatment","Opiate","","Female","50 and over","Asian","Number","Normal value",9
"2014/15","People in treatment","Opiate","","","","Asian","Number","Normal value",5908
"2014/15","People in treatment","Opiate","","","18 to 29","Asian","Number","Normal value",889
"2014/15","People in treatment","Opiate","","","30 to 49","Asian","Number","Normal value",4608
"2014/15","People in treatment","Opiate","","","50 and over","Asian","Number","Normal value",411
"2014/15","People in treatment","Opiate","","Male","","Asian","Number","Normal value",5585
"2014/15","People in treatment","Opiate","","Male","18 to 29","Asian","Number","Normal value",821
"2014/15","People in treatment","Opiate","","Male","30 to 49","Asian","Number","Normal value",4368
"2014/15","People in treatment","Opiate","","Male","50 and over","Asian","Number","Normal value",396
"2014/15","People in treatment","Opiate","","Female","","Asian","Number","Normal value",323
"2014/15","People in treatment","Opiate","","Female","18 to 29","Asian","Number","Normal value",68
"2014/15","People in treatment","Opiate","","Female","30 to 49","Asian","Number","Normal value",240
"2014/15","People in treatment","Opiate","","Female","50 and over","Asian","Number","Normal value",15
"2015/16","People in treatment","Opiate","","","","Asian","Number","Normal value",5846
"2015/16","People in treatment","Opiate","","","18 to 29","Asian","Number","Normal value",733
"2015/16","People in treatment","Opiate","","","30 to 49","Asian","Number","Normal value",4645
"2015/16","People in treatment","Opiate","","","50 and over","Asian","Number","Normal value",468
"2015/16","People in treatment","Opiate","","Male","","Asian","Number","Normal value",5550
"2015/16","People in treatment","Opiate","","Male","18 to 29","Asian","Number","Normal value",679
"2015/16","People in treatment","Opiate","","Male","30 to 49","Asian","Number","Normal value",4419
"2015/16","People in treatment","Opiate","","Male","50 and over","Asian","Number","Normal value",452
"2015/16","People in treatment","Opiate","","Female","","Asian","Number","Normal value",296
"2015/16","People in treatment","Opiate","","Female","18 to 29","Asian","Number","Normal value",54
"2015/16","People in treatment","Opiate","","Female","30 to 49","Asian","Number","Normal value",226
"2015/16","People in treatment","Opiate","","Female","50 and over","Asian","Number","Normal value",16
"2016/17","People in treatment","Opiate","","","","Asian","Number","Normal value",5732
"2016/17","People in treatment","Opiate","","","18 to 29","Asian","Number","Normal value",624
"2016/17","People in treatment","Opiate","","","30 to 49","Asian","Number","Normal value",4622
"2016/17","People in treatment","Opiate","","","50 and over","Asian","Number","Normal value",486
"2016/17","People in treatment","Opiate","","Male","","Asian","Number","Normal value",5408
"2016/17","People in treatment","Opiate","","Male","18 to 29","Asian","Number","Normal value",562
"2016/17","People in treatment","Opiate","","Male","30 to 49","Asian","Number","Normal value",4377
"2016/17","People in treatment","Opiate","","Male","50 and over","Asian","Number","Normal value",469
"2016/17","People in treatment","Opiate","","Female","","Asian","Number","Normal value",324
"2016/17","People in treatment","Opiate","","Female","18 to 29","Asian","Number","Normal value",62
"2016/17","People in treatment","Opiate","","Female","30 to 49","Asian","Number","Normal value",245
"2016/17","People in treatment","Opiate","","Female","50 and over","Asian","Number","Normal value",17
"2017/18","People in treatment","Opiate","","","","Asian","Number","Normal value",5422
"2017/18","People in treatment","Opiate","","","18 to 29","Asian","Number","Normal value",500
"2017/18","People in treatment","Opiate","","","30 to 49","Asian","Number","Normal value",4375
"2017/18","People in treatment","Opiate","","","50 and over","Asian","Number","Normal value",547
"2017/18","People in treatment","Opiate","","Male","","Asian","Number","Normal value",5124
"2017/18","People in treatment","Opiate","","Male","18 to 29","Asian","Number","Normal value",453
"2017/18","People in treatment","Opiate","","Male","30 to 49","Asian","Number","Normal value",4142
"2017/18","People in treatment","Opiate","","Male","50 and over","Asian","Number","Normal value",529
"2017/18","People in treatment","Opiate","","Female","","Asian","Number","Normal value",298
"2017/18","People in treatment","Opiate","","Female","18 to 29","Asian","Number","Normal value",47
"2017/18","People in treatment","Opiate","","Female","30 to 49","Asian","Number","Normal value",233
"2017/18","People in treatment","Opiate","","Female","50 and over","Asian","Number","Normal value",18
"2018/19","People in treatment","Opiate","","","","Asian","Number","Normal value",5649
"2018/19","People in treatment","Opiate","","","18 to 29","Asian","Number","Normal value",417
"2018/19","People in treatment","Opiate","","","30 to 49","Asian","Number","Normal value",4552
"2018/19","People in treatment","Opiate","","","50 and over","Asian","Number","Normal value",680
"2018/19","People in treatment","Opiate","","Male","","Asian","Number","Normal value",5317
"2018/19","People in treatment","Opiate","","Male","18 to 29","Asian","Number","Normal value",375
"2018/19","People in treatment","Opiate","","Male","30 to 49","Asian","Number","Normal value",4295
"2018/19","People in treatment","Opiate","","Male","50 and over","Asian","Number","Normal value",647
"2018/19","People in treatment","Opiate","","Female","","Asian","Number","Normal value",332
"2018/19","People in treatment","Opiate","","Female","18 to 29","Asian","Number","Normal value",42
"2018/19","People in treatment","Opiate","","Female","30 to 49","Asian","Number","Normal value",257
"2018/19","People in treatment","Opiate","","Female","50 and over","Asian","Number","Normal value",33
"2019/20","People in treatment","Opiate","","","","Asian","Number","Normal value",5654
"2019/20","People in treatment","Opiate","","","18 to 29","Asian","Number","Normal value",349
"2019/20","People in treatment","Opiate","","","30 to 49","Asian","Number","Normal value",4515
"2019/20","People in treatment","Opiate","","","50 and over","Asian","Number","Normal value",790
"2019/20","People in treatment","Opiate","","Male","","Asian","Number","Normal value",5297
"2019/20","People in treatment","Opiate","","Male","18 to 29","Asian","Number","Normal value",306
"2019/20","People in treatment","Opiate","","Male","30 to 49","Asian","Number","Normal value",4236
"2019/20","People in treatment","Opiate","","Male","50 and over","Asian","Number","Normal value",755
"2019/20","People in treatment","Opiate","","Female","","Asian","Number","Normal value",357
"2019/20","People in treatment","Opiate","","Female","18 to 29","Asian","Number","Normal value",43
"2019/20","People in treatment","Opiate","","Female","30 to 49","Asian","Number","Normal value",279
"2019/20","People in treatment","Opiate","","Female","50 and over","Asian","Number","Normal value",35
"2020/21","People in treatment","Opiate","","","","Asian","Number","Normal value",5660
"2020/21","People in treatment","Opiate","","","18 to 29","Asian","Number","Normal value",326
"2020/21","People in treatment","Opiate","","","30 to 49","Asian","Number","Normal value",4426
"2020/21","People in treatment","Opiate","","","50 and over","Asian","Number","Normal value",908
"2020/21","People in treatment","Opiate","","Male","","Asian","Number","Normal value",5293
"2020/21","People in treatment","Opiate","","Male","18 to 29","Asian","Number","Normal value",280
"2020/21","People in treatment","Opiate","","Male","30 to 49","Asian","Number","Normal value",4143
"2020/21","People in treatment","Opiate","","Male","50 and over","Asian","Number","Normal value",870
"2020/21","People in treatment","Opiate","","Female","","Asian","Number","Normal value",367
"2020/21","People in treatment","Opiate","","Female","18 to 29","Asian","Number","Normal value",46
"2020/21","People in treatment","Opiate","","Female","30 to 49","Asian","Number","Normal value",283
"2020/21","People in treatment","Opiate","","Female","50 and over","Asian","Number","Normal value",38
"2021/22","People in treatment","Opiate","","","","Asian","Number","Normal value",5755
"2021/22","People in treatment","Opiate","","","18 to 29","Asian","Number","Normal value",304
"2021/22","People in treatment","Opiate","","","30 to 49","Asian","Number","Normal value",4396
"2021/22","People in treatment","Opiate","","","50 and over","Asian","Number","Normal value",1055
"2021/22","People in treatment","Opiate","","Male","","Asian","Number","Normal value",5390
"2021/22","People in treatment","Opiate","","Male","18 to 29","Asian","Number","Normal value",262
"2021/22","People in treatment","Opiate","","Male","30 to 49","Asian","Number","Normal value",4123
"2021/22","People in treatment","Opiate","","Male","50 and over","Asian","Number","Normal value",1005
"2021/22","People in treatment","Opiate","","Female","","Asian","Number","Normal value",365
"2021/22","People in treatment","Opiate","","Female","18 to 29","Asian","Number","Normal value",42
"2021/22","People in treatment","Opiate","","Female","30 to 49","Asian","Number","Normal value",273
"2021/22","People in treatment","Opiate","","Female","50 and over","Asian","Number","Normal value",50
"2009/10","People in treatment","Opiate","Barnet","Female","18 to 29","Asian","Number","Normal value",0
"2009/10","People in treatment","Opiate","Barnet","Female","30 to 49","Asian","Number","Normal value",0
"2009/10","People in treatment","Opiate","Barnet","Female","50 and over","Asian","Number","Normal value",0
"2009/10","People in treatment","Opiate","Barnet","Female","","Asian","Number","Normal value",0
"2009/10","People in treatment","Opiate","Barnet","Male","18 to 29","Asian","Number","Normal value",5
"2009/10","People in treatment","Opiate","Barnet","Male","30 to 49","Asian","Number","Normal value",15
"2009/10","People in treatment","Opiate","Barnet","Male","50 and over","Asian","Number","Normal value",0
"2009/10","People in treatment","Opiate","Barnet","Male","","Asian","Number","Normal value",20
"2009/10","People in treatment","Opiate","Barnet","","18 to 29","Asian","Number","Normal value",5
"2009/10","People in treatment","Opiate","Barnet","","30 to 49","Asian","Number","Normal value",15
"2009/10","People in treatment","Opiate","Barnet","","50 and over","Asian","Number","Normal value",0
"2009/10","People in treatment","Opiate","Barnet","","","Asian","Number","Normal value",25
"2010/11","People in treatment","Opiate","Barnet","Female","18 to 29","Asian","Number","Normal value",0
"2010/11","People in treatment","Opiate","Barnet","Female","30 to 49","Asian","Number","Normal value",0
"2010/11","People in treatment","Opiate","Barnet","Female","50 and over","Asian","Number","Normal value",0
"2010/11","People in treatment","Opiate","Barnet","Female","","Asian","Number","Normal value",0
"2010/11","People in treatment","Opiate","Barnet","Male","18 to 29","Asian","Number","Normal value",5
"2010/11","People in treatment","Opiate","Barnet","Male","30 to 49","Asian","Number","Normal value",15
"2010/11","People in treatment","Opiate","Barnet","Male","50 and over","Asian","Number","Normal value",0
"2010/11","People in treatment","Opiate","Barnet","Male","","Asian","Number","Normal value",25
"2010/11","People in treatment","Opiate","Barnet","","18 to 29","Asian","Number","Normal value",10
"2010/11","People in treatment","Opiate","Barnet","","30 to 49","Asian","Number","Normal value",15
"2010/11","People in treatment","Opiate","Barnet","","50 and over","Asian","Number","Normal value",0
"2010/11","People in treatment","Opiate","Barnet","","","Asian","Number","Normal value",25
"2011/12","People in treatment","Opiate","Barnet","Female","18 to 29","Asian","Number","Normal value",0
"2011/12","People in treatment","Opiate","Barnet","Female","30 to 49","Asian","Number","Normal value",0
"2011/12","People in treatment","Opiate","Barnet","Female","50 and over","Asian","Number","Normal value",0
"2011/12","People in treatment","Opiate","Barnet","Female","","Asian","Number","Normal value",0
"2011/12","People in treatment","Opiate","Barnet","Male","18 to 29","Asian","Number","Normal value",5
"2011/12","People in treatment","Opiate","Barnet","Male","30 to 49","Asian","Number","Normal value",15
"2011/12","People in treatment","Opiate","Barnet","Male","50 and over","Asian","Number","Normal value",0
"2011/12","People in treatment","Opiate","Barnet","Male","","Asian","Number","Normal value",20
"2011/12","People in treatment","Opiate","Barnet","","18 to 29","Asian","Number","Normal value",5
"2011/12","People in treatment","Opiate","Barnet","","30 to 49","Asian","Number","Normal value",15
"2011/12","People in treatment","Opiate","Barnet","","50 and over","Asian","Number","Normal value",0
"2011/12","People in treatment","Opiate","Barnet","","","Asian","Number","Normal value",25
"2012/13","People in treatment","Opiate","Barnet","Female","18 to 29","Asian","Number","Normal value",0
"2012/13","People in treatment","Opiate","Barnet","Female","30 to 49","Asian","Number","Normal value",0
"2012/13","People in treatment","Opiate","Barnet","Female","50 and over","Asian","Number","Normal value",0
"2012/13","People in treatment","Opiate","Barnet","Female","","Asian","Number","Normal value",0
"2012/13","People in treatment","Opiate","Barnet","Male","18 to 29","Asian","Number","Normal value",0
"2012/13","People in treatment","Opiate","Barnet","Male","30 to 49","Asian","Number","Normal value",35
"2012/13","People in treatment","Opiate","Barnet","Male","50 and over","Asian","Number","Normal value",5
"2012/13","People in treatment","Opiate","Barnet","Male","","Asian","Number","Normal value",40
"2012/13","People in treatment","Opiate","Barnet","","18 to 29","Asian","Number","Normal value",0
"2012/13","People in treatment","Opiate","Barnet","","30 to 49","Asian","Number","Normal value",35
"2012/13","People in treatment","Opiate","Barnet","","50 and over","Asian","Number","Normal value",5
"2012/13","People in treatment","Opiate","Barnet","","","Asian","Number","Normal value",40
"2013/14","People in treatment","Opiate","Barnet","Female","18 to 29","Asian","Number","Normal value",0
"2013/14","People in treatment","Opiate","Barnet","Female","30 to 49","Asian","Number","Normal value",0
"2013/14","People in treatment","Opiate","Barnet","Female","50 and over","Asian","Number","Normal value",0
"2013/14","People in treatment","Opiate","Barnet","Female","","Asian","Number","Normal value",0
"2013/14","People in treatment","Opiate","Barnet","Male","18 to 29","Asian","Number","Normal value",0
"2013/14","People in treatment","Opiate","Barnet","Male","30 to 49","Asian","Number","Normal value",30
"2013/14","People in treatment","Opiate","Barnet","Male","50 and over","Asian","Number","Normal value",5
"2013/14","People in treatment","Opiate","Barnet","Male","","Asian","Number","Normal value",35
"2013/14","People in treatment","Opiate","Barnet","","18 to 29","Asian","Number","Normal value",0
"2013/14","People in treatment","Opiate","Barnet","","30 to 49","Asian","Number","Normal value",30
"2013/14","People in treatment","Opiate","Barnet","","50 and over","Asian","Number","Normal value",5
"2013/14","People in treatment","Opiate","Barnet","","","Asian","Number","Normal value",35
"2014/15","People in treatment","Opiate","Barnet","Female","18 to 29","Asian","Number","Normal value",0
"2014/15","People in treatment","Opiate","Barnet","Female","30 to 49","Asian","Number","Normal value",0
"2014/15","People in treatment","Opiate","Barnet","Female","50 and over","Asian","Number","Normal value",0
"2014/15","People in treatment","Opiate","Barnet","Female","","Asian","Number","Normal value",0
"2014/15","People in treatment","Opiate","Barnet","Male","18 to 29","Asian","Number","Normal value",5
"2014/15","People in treatment","Opiate","Barnet","Male","30 to 49","Asian","Number","Normal value",25
"2014/15","People in treatment","Opiate","Barnet","Male","50 and over","Asian","Number","Normal value",0
"2014/15","People in treatment","Opiate","Barnet","Male","","Asian","Number","Normal value",30
"2014/15","People in treatment","Opiate","Barnet","","18 to 29","Asian","Number","Normal value",5
"2014/15","People in treatment","Opiate","Barnet","","30 to 49","Asian","Number","Normal value",25
"2014/15","People in treatment","Opiate","Barnet","","50 and over","Asian","Number","Normal value",0
"2014/15","People in treatment","Opiate","Barnet","","","Asian","Number","Normal value",30
"2015/16","People in treatment","Opiate","Barnet","Female","18 to 29","Asian","Number","Normal value",0
"2015/16","People in treatment","Opiate","Barnet","Female","30 to 49","Asian","Number","Normal value",5
"2015/16","People in treatment","Opiate","Barnet","Female","50 and over","Asian","Number","Normal value",0
"2015/16","People in treatment","Opiate","Barnet","Female","","Asian","Number","Normal value",5
"2015/16","People in treatment","Opiate","Barnet","Male","18 to 29","Asian","Number","Normal value",5
"2015/16","People in treatment","Opiate","Barnet","Male","30 to 49","Asian","Number","Normal value",25
"2015/16","People in treatment","Opiate","Barnet","Male","50 and over","Asian","Number","Normal value",0
"2015/16","People in treatment","Opiate","Barnet","Male","","Asian","Number","Normal value",30
"2015/16","People in treatment","Opiate","Barnet","","18 to 29","Asian","Number","Normal value",5
"2015/16","People in treatment","Opiate","Barnet","","30 to 49","Asian","Number","Normal value",30
"2015/16","People in treatment","Opiate","Barnet","","50 and over","Asian","Number","Normal value",5
"2015/16","People in treatment","Opiate","Barnet","","","Asian","Number","Normal value",35
"2016/17","People in treatment","Opiate","Barnet","Female","18 to 29","Asian","Number","Normal value",0
"2016/17","People in treatment","Opiate","Barnet","Female","30 to 49","Asian","Number","Normal value",5
"2016/17","People in treatment","Opiate","Barnet","Female","50 and over","Asian","Number","Normal value",0
"2016/17","People in treatment","Opiate","Barnet","Female","","Asian","Number","Normal value",5
"2016/17","People in treatment","Opiate","Barnet","Male","18 to 29","Asian","Number","Normal value",5
"2016/17","People in treatment","Opiate","Barnet","Male","30 to 49","Asian","Number","Normal value",25
"2016/17","People in treatment","Opiate","Barnet","Male","50 and over","Asian","Number","Normal value",5
"2016/17","People in treatment","Opiate","Barnet","Male","","Asian","Number","Normal value",40
"2016/17","People in treatment","Opiate","Barnet","","18 to 29","Asian","Number","Normal value",5
"2016/17","People in treatment","Opiate","Barnet","","30 to 49","Asian","Number","Normal value",30
"2016/17","People in treatment","Opiate","Barnet","","50 and over","Asian","Number","Normal value",10
"2016/17","People in treatment","Opiate","Barnet","","","Asian","Number","Normal value",45
"2017/18","People in treatment","Opiate","Barnet","Female","18 to 29","Asian","Number","Normal value",0
"2017/18","People in treatment","Opiate","Barnet","Female","30 to 49","Asian","Number","Normal value",5
"2017/18","People in treatment","Opiate","Barnet","Female","50 and over","Asian","Number","Normal value",0
"2017/18","People in treatment","Opiate","Barnet","Female","","Asian","Number","Normal value",10
"2017/18","People in treatment","Opiate","Barnet","Male","18 to 29","Asian","Number","Normal value",5
"2017/18","People in treatment","Opiate","Barnet","Male","30 to 49","Asian","Number","Normal value",30
"2017/18","People in treatment","Opiate","Barnet","Male","50 and over","Asian","Number","Normal value",10
"2017/18","People in treatment","Opiate","Barnet","Male","","Asian","Number","Normal value",40
"2017/18","People in treatment","Opiate","Barnet","","18 to 29","Asian","Number","Normal value",5
"2017/18","People in treatment","Opiate","Barnet","","30 to 49","Asian","Number","Normal value",35
"2017/18","People in treatment","Opiate","Barnet","","50 and over","Asian","Number","Normal value",10
"2017/18","People in treatment","Opiate","Barnet","","","Asian","Number","Normal value",50
"2018/19","People in treatment","Opiate","Barnet","Female","18 to 29","Asian","Number","Normal value",0
"2018/19","People in treatment","Opiate","Barnet","Female","30 to 49","Asian","Number","Normal value",5
"2018/19","People in treatment","Opiate","Barnet","Female","50 and over","Asian","Number","Normal value",5
"2018/19","People in treatment","Opiate","Barnet","Female","","Asian","Number","Normal value",10
"2018/19","People in treatment","Opiate","Barnet","Male","18 to 29","Asian","Number","Normal value",0
"2018/19","People in treatment","Opiate","Barnet","Male","30 to 49","Asian","Number","Normal value",35
"2018/19","People in treatment","Opiate","Barnet","Male","50 and over","Asian","Number","Normal value",10
"2018/19","People in treatment","Opiate","Barnet","Male","","Asian","Number","Normal value",45
"2018/19","People in treatment","Opiate","Barnet","","18 to 29","Asian","Number","Normal value",0
"2018/19","People in treatment","Opiate","Barnet","","30 to 49","Asian","Number","Normal value",40
"2018/19","People in treatment","Opiate","Barnet","","50 and over","Asian","Number","Normal value",15
"2018/19","People in treatment","Opiate","Barnet","","","Asian","Number","Normal value",55
"2019/20","People in treatment","Opiate","Barnet","Female","18 to 29","Asian","Number","Normal value",0
"2019/20","People in treatment","Opiate","Barnet","Female","30 to 49","Asian","Number","Normal value",5
"2019/20","People in treatment","Opiate","Barnet","Female","50 and over","Asian","Number","Normal value",0
"2019/20","People in treatment","Opiate","Barnet","Female","","Asian","Number","Normal value",5
"2019/20","People in treatment","Opiate","Barnet","Male","18 to 29","Asian","Number","Normal value",0
"2019/20","People in treatment","Opiate","Barnet","Male","30 to 49","Asian","Number","Normal value",35
"2019/20","People in treatment","Opiate","Barnet","Male","50 and over","Asian","Number","Normal value",15
"2019/20","People in treatment","Opiate","Barnet","Male","","Asian","Number","Normal value",50
"2019/20","People in treatment","Opiate","Barnet","","18 to 29","Asian","Number","Normal value",0
"2019/20","People in treatment","Opiate","Barnet","","30 to 49","Asian","Number","Normal value",40
"2019/20","People in treatment","Opiate","Barnet","","50 and over","Asian","Number","Normal value",15
"2019/20","People in treatment","Opiate","Barnet","","","Asian","Number","Normal value",55
"2020/21","People in treatment","Opiate","Barnet","Female","18 to 29","Asian","Number","Normal value",0
"2020/21","People in treatment","Opiate","Barnet","Female","30 to 49","Asian","Number","Normal value",5
"2020/21","People in treatment","Opiate","Barnet","Female","50 and over","Asian","Number","Normal value",0
"2020/21","People in treatment","Opiate","Barnet","Female","","Asian","Number","Normal value",5
"2020/21","People in treatment","Opiate","Barnet","Male","18 to 29","Asian","Number","Normal value",5
"2020/21","People in treatment","Opiate","Barnet","Male","30 to 49","Asian","Number","Normal value",35
"2020/21","People in treatment","Opiate","Barnet","Male","50 and over","Asian","Number","Normal value",20
"2020/21","People in treatment","Opiate","Barnet","Male","","Asian","Number","Normal value",55
"2020/21","People in treatment","Opiate","Barnet","","18 to 29","Asian","Number","Normal value",5
"2020/21","People in treatment","Opiate","Barnet","","30 to 49","Asian","Number","Normal value",35
"2020/21","People in treatment","Opiate","Barnet","","50 and over","Asian","Number","Normal value",20
"2020/21","People in treatment","Opiate","Barnet","","","Asian","Number","Normal value",60
"2021/22","People in treatment","Opiate","Barnet","","","Asian","Number","Normal value",70
"2021/22","People in treatment","Opiate","Barnet","","18 to 29","Asian","Number","Normal value",0
"2021/22","People in treatment","Opiate","Barnet","","30 to 49","Asian","Number","Normal value",45
"2021/22","People in treatment","Opiate","Barnet","","50 and over","Asian","Number","Normal value",25
"2021/22","People in treatment","Opiate","Barnet","Male","","Asian","Number","Normal value",65
"2021/22","People in treatment","Opiate","Barnet","Male","18 to 29","Asian","Number","Normal value",0
"2021/22","People in treatment","Opiate","Barnet","Male","30 to 49","Asian","Number","Normal value",40
"2021/22","People in treatment","Opiate","Barnet","Male","50 and over","Asian","Number","Normal value",20
"2021/22","People in treatment","Opiate","Barnet","Female","","Asian","Number","Normal value",5
"2021/22","People in treatment","Opiate","Barnet","Female","18 to 29","Asian","Number","Normal value",0
"2021/22","People in treatment","Opiate","Barnet","Female","30 to 49","Asian","Number","Normal value",5
"2021/22","People in treatment","Opiate","Barnet","Female","50 and over","Asian","Number","Normal value",5
"2009/10","People in treatment","Opiate","","","","Black","Number","Normal value",2909
"2009/10","People in treatment","Opiate","","","18 to 29","Black","Number","Normal value",499
"2009/10","People in treatment","Opiate","","","30 to 49","Black","Number","Normal value",2153
"2009/10","People in treatment","Opiate","","","50 and over","Black","Number","Normal value",257
"2009/10","People in treatment","Opiate","","Male","","Black","Number","Normal value",2364
"2009/10","People in treatment","Opiate","","Male","18 to 29","Black","Number","Normal value",368
"2009/10","People in treatment","Opiate","","Male","30 to 49","Black","Number","Normal value",1769
"2009/10","People in treatment","Opiate","","Male","50 and over","Black","Number","Normal value",227
"2009/10","People in treatment","Opiate","","Female","","Black","Number","Normal value",545
"2009/10","People in treatment","Opiate","","Female","18 to 29","Black","Number","Normal value",131
"2009/10","People in treatment","Opiate","","Female","30 to 49","Black","Number","Normal value",384
"2009/10","People in treatment","Opiate","","Female","50 and over","Black","Number","Normal value",30
"2010/11","People in treatment","Opiate","","","","Black","Number","Normal value",2829
"2010/11","People in treatment","Opiate","","","18 to 29","Black","Number","Normal value",418
"2010/11","People in treatment","Opiate","","","30 to 49","Black","Number","Normal value",2127
"2010/11","People in treatment","Opiate","","","50 and over","Black","Number","Normal value",284
"2010/11","People in treatment","Opiate","","Male","","Black","Number","Normal value",2316
"2010/11","People in treatment","Opiate","","Male","18 to 29","Black","Number","Normal value",303
"2010/11","People in treatment","Opiate","","Male","30 to 49","Black","Number","Normal value",1759
"2010/11","People in treatment","Opiate","","Male","50 and over","Black","Number","Normal value",254
"2010/11","People in treatment","Opiate","","Female","","Black","Number","Normal value",513
"2010/11","People in treatment","Opiate","","Female","18 to 29","Black","Number","Normal value",115
"2010/11","People in treatment","Opiate","","Female","30 to 49","Black","Number","Normal value",368
"2010/11","People in treatment","Opiate","","Female","50 and over","Black","Number","Normal value",30
"2011/12","People in treatment","Opiate","","","","Black","Number","Normal value",2613
"2011/12","People in treatment","Opiate","","","18 to 29","Black","Number","Normal value",339
"2011/12","People in treatment","Opiate","","","30 to 49","Black","Number","Normal value",1922
"2011/12","People in treatment","Opiate","","","50 and over","Black","Number","Normal value",352
"2011/12","People in treatment","Opiate","","Male","","Black","Number","Normal value",2157
"2011/12","People in treatment","Opiate","","Male","18 to 29","Black","Number","Normal value",234
"2011/12","People in treatment","Opiate","","Male","30 to 49","Black","Number","Normal value",1598
"2011/12","People in treatment","Opiate","","Male","50 and over","Black","Number","Normal value",325
"2011/12","People in treatment","Opiate","","Female","","Black","Number","Normal value",456
"2011/12","People in treatment","Opiate","","Female","18 to 29","Black","Number","Normal value",105
"2011/12","People in treatment","Opiate","","Female","30 to 49","Black","Number","Normal value",324
"2011/12","People in treatment","Opiate","","Female","50 and over","Black","Number","Normal value",27
"2012/13","People in treatment","Opiate","","","","Black","Number","Normal value",2483
"2012/13","People in treatment","Opiate","","","18 to 29","Black","Number","Normal value",263
"2012/13","People in treatment","Opiate","","","30 to 49","Black","Number","Normal value",1817
"2012/13","People in treatment","Opiate","","","50 and over","Black","Number","Normal value",403
"2012/13","People in treatment","Opiate","","Male","","Black","Number","Normal value",2038
"2012/13","People in treatment","Opiate","","Male","18 to 29","Black","Number","Normal value",171
"2012/13","People in treatment","Opiate","","Male","30 to 49","Black","Number","Normal value",1497
"2012/13","People in treatment","Opiate","","Male","50 and over","Black","Number","Normal value",370
"2012/13","People in treatment","Opiate","","Female","","Black","Number","Normal value",445
"2012/13","People in treatment","Opiate","","Female","18 to 29","Black","Number","Normal value",92
"2012/13","People in treatment","Opiate","","Female","30 to 49","Black","Number","Normal value",320
