"Year","Series","Sex","Age","Country","Region","Socio-economic classification","Ethnicity","Country of birth","Units","Unit multiplier","Observation status","Value"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","Female","","Northern Ireland","","","","","Percentage","Units","Normal value","16.8"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","Female","","Northern Ireland","","","","","Percentage","Units","Normal value","17.3"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","Female","","Northern Ireland","","","","","Percentage","Units","Normal value","17.6"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","Female","18 to 24","","","","","","Percentage","Units","Normal value","10.8"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","Female","18 to 24","","","","","","Percentage","Units","Normal value","12.5"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","Female","18 to 24","","","","","","Percentage","Units","Normal value","13.9"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","Female","18 to 24","","","","","","Percentage","Units","Normal value","14.6"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","Female","18 to 24","","","","","","Percentage","Units","Normal value","15"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","Female","18 to 24","","","","","","Percentage","Units","Normal value","17"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","Female","18 to 24","","","","","","Percentage","Units","Normal value","19.3"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","Female","18 to 24","","","","","","Percentage","Units","Normal value","21.2"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","Female","18 to 24","","","","","","Percentage","Units","Normal value","21.2"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","Female","18 to 24","","","","","","Percentage","Units","Normal value","22.8"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","Female","18 to 24","","","","","","Percentage","Units","Normal value","23.7"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","Female","25 to 34","","","","","","Percentage","Units","Normal value","13.6"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","Female","25 to 34","","","","","","Percentage","Units","Normal value","15.4"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","Female","25 to 34","","","","","","Percentage","Units","Normal value","16.5"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","Female","25 to 34","","","","","","Percentage","Units","Normal value","16.9"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","Female","25 to 34","","","","","","Percentage","Units","Normal value","17.3"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","Female","25 to 34","","","","","","Percentage","Units","Normal value","18.4"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","Female","25 to 34","","","","","","Percentage","Units","Normal value","19.6"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","Female","25 to 34","","","","","","Percentage","Units","Normal value","20"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","Female","25 to 34","","","","","","Percentage","Units","Normal value","20.8"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","Female","25 to 34","","","","","","Percentage","Units","Normal value","21.2"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","Female","25 to 34","","","","","","Percentage","Units","Normal value","22.2"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","Female","35 to 44","","","","","","Percentage","Units","Normal value","12.6"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","Female","35 to 44","","","","","","Percentage","Units","Normal value","13.6"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","Female","35 to 44","","","","","","Percentage","Units","Normal value","12.9"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","Female","35 to 44","","","","","","Percentage","Units","Normal value","13.8"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","Female","35 to 44","","","","","","Percentage","Units","Normal value","13.9"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","Female","35 to 44","","","","","","Percentage","Units","Normal value","15"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","Female","35 to 44","","","","","","Percentage","Units","Normal value","16.4"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","Female","35 to 44","","","","","","Percentage","Units","Normal value","16.8"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","Female","35 to 44","","","","","","Percentage","Units","Normal value","18.2"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","Female","35 to 44","","","","","","Percentage","Units","Normal value","19.3"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","Female","35 to 44","","","","","","Percentage","Units","Normal value","20.8"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","Female","45 to 54","","","","","","Percentage","Units","Normal value","13.3"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","Female","45 to 54","","","","","","Percentage","Units","Normal value","13.8"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","Female","45 to 54","","","","","","Percentage","Units","Normal value","14.4"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","Female","45 to 54","","","","","","Percentage","Units","Normal value","15.1"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","Female","45 to 54","","","","","","Percentage","Units","Normal value","15.2"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","Female","45 to 54","","","","","","Percentage","Units","Normal value","15.9"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","Female","45 to 54","","","","","","Percentage","Units","Normal value","17.3"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","Female","45 to 54","","","","","","Percentage","Units","Normal value","18"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","Female","45 to 54","","","","","","Percentage","Units","Normal value","18.9"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","Female","45 to 54","","","","","","Percentage","Units","Normal value","19.4"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","Female","45 to 54","","","","","","Percentage","Units","Normal value","20.2"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","Female","55 to 64","","","","","","Percentage","Units","Normal value","13.1"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","Female","55 to 64","","","","","","Percentage","Units","Normal value","13.5"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","Female","55 to 64","","","","","","Percentage","Units","Normal value","13.3"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","Female","55 to 64","","","","","","Percentage","Units","Normal value","13.5"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","Female","55 to 64","","","","","","Percentage","Units","Normal value","14.1"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","Female","55 to 64","","","","","","Percentage","Units","Normal value","14.1"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","Female","55 to 64","","","","","","Percentage","Units","Normal value","14.5"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","Female","55 to 64","","","","","","Percentage","Units","Normal value","15.6"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","Female","55 to 64","","","","","","Percentage","Units","Normal value","15.8"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","Female","55 to 64","","","","","","Percentage","Units","Normal value","16.9"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","Female","55 to 64","","","","","","Percentage","Units","Normal value","17.3"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","Female","65 and over","","","","","","Percentage","Units","Normal value","7.5"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","Female","65 and over","","","","","","Percentage","Units","Normal value","7.5"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","Female","65 and over","","","","","","Percentage","Units","Normal value","7.1"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","Female","65 and over","","","","","","Percentage","Units","Normal value","7.3"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","Female","65 and over","","","","","","Percentage","Units","Normal value","7.7"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","Female","65 and over","","","","","","Percentage","Units","Normal value","7.8"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","Female","65 and over","","","","","","Percentage","Units","Normal value","8.5"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","Female","65 and over","","","","","","Percentage","Units","Normal value","8.8"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","Female","65 and over","","","","","","Percentage","Units","Normal value","9.2"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","Female","65 and over","","","","","","Percentage","Units","Normal value","9.5"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","Female","65 and over","","","","","","Percentage","Units","Normal value","9.3"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","Female","","","","","","","Percentage","Units","Normal value","11.5"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","Female","","","","","","","Percentage","Units","Normal value","12.3"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","Female","","","","","","","Percentage","Units","Normal value","12.5"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","Female","","","","","","","Percentage","Units","Normal value","13"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","Female","","","","","","","Percentage","Units","Normal value","13.3"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","Female","","","","","","","Percentage","Units","Normal value","14.1"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","Female","","","","","","","Percentage","Units","Normal value","15.3"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","Female","","","","","","","Percentage","Units","Normal value","16"
"2013","Percentage of people who are current cigarette smokers aged 18 years and older","Female","","","","","","","Percentage","Units","Normal value","16.6"
"2012","Percentage of people who are current cigarette smokers aged 18 years and older","Female","","","","","","","Percentage","Units","Normal value","17.4"
"2011","Percentage of people who are current cigarette smokers aged 18 years and older","Female","","","","","","","Percentage","Units","Normal value","18.2"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","White","","Percentage","Units","Normal value","13.7"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","White","","Percentage","Units","Normal value","14.3"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","White","","Percentage","Units","Normal value","14.4"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","White","","Percentage","Units","Normal value","15"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","White","","Percentage","Units","Normal value","15.4"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","White","","Percentage","Units","Normal value","16.2"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","White","","Percentage","Units","Normal value","17.6"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","White","","Percentage","Units","Normal value","18.5"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Mixed","","Percentage","Units","Normal value","16"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Mixed","","Percentage","Units","Normal value","18.9"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Mixed","","Percentage","Units","Normal value","19.5"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Mixed","","Percentage","Units","Normal value","20.4"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Mixed","","Percentage","Units","Normal value","20.5"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Mixed","","Percentage","Units","Normal value","20.8"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Mixed","","Percentage","Units","Normal value","22.4"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Mixed","","Percentage","Units","Normal value","24.4"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Asian","","Percentage","Units","Normal value","7.7"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Asian","","Percentage","Units","Normal value","8.2"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Asian","","Percentage","Units","Normal value","8.3"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Asian","","Percentage","Units","Normal value","9.1"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Asian","","Percentage","Units","Normal value","9.3"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Asian","","Percentage","Units","Normal value","9.4"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Asian","","Percentage","Units","Normal value","10"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Asian","","Percentage","Units","Normal value","10.8"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Chinese","","Percentage","Units","Normal value","5.1"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Chinese","","Percentage","Units","Normal value","4.6"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Chinese","","Percentage","Units","Normal value","6.7"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Chinese","","Percentage","Units","Normal value","7.7"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Chinese","","Percentage","Units","Normal value","8.6"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Chinese","","Percentage","Units","Normal value","7.4"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Chinese","","Percentage","Units","Normal value","12.2"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Chinese","","Percentage","Units","Normal value","10.9"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Black","","Percentage","Units","Normal value","8.1"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Black","","Percentage","Units","Normal value","9.7"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Black","","Percentage","Units","Normal value","9.7"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Black","","Percentage","Units","Normal value","11"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Black","","Percentage","Units","Normal value","10.4"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Black","","Percentage","Units","Normal value","10.3"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Black","","Percentage","Units","Normal value","11.3"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Black","","Percentage","Units","Normal value","13.5"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Other","","Percentage","Units","Normal value","10.6"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Other","","Percentage","Units","Normal value","15.5"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Other","","Percentage","Units","Normal value","15.6"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Other","","Percentage","Units","Normal value","15.5"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Other","","Percentage","Units","Normal value","16.5"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Other","","Percentage","Units","Normal value","14.6"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Other","","Percentage","Units","Normal value","16.7"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","","England","","","Other","","Percentage","Units","Normal value","16.8"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","White","","Percentage","Units","Normal value","13.8"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","White","","Percentage","Units","Normal value","14.5"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","White","","Percentage","Units","Normal value","14.6"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","White","","Percentage","Units","Normal value","15.2"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","White","","Percentage","Units","Normal value","15.6"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","White","","Percentage","Units","Normal value","16.5"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","White","","Percentage","Units","Normal value","17.8"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","White","","Percentage","Units","Normal value","18.7"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Mixed","","Percentage","Units","Normal value","15.6"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Mixed","","Percentage","Units","Normal value","18.5"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Mixed","","Percentage","Units","Normal value","19.3"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Mixed","","Percentage","Units","Normal value","20.4"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Mixed","","Percentage","Units","Normal value","20.1"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Mixed","","Percentage","Units","Normal value","21.2"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Mixed","","Percentage","Units","Normal value","22.3"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Mixed","","Percentage","Units","Normal value","23.9"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Asian","","Percentage","Units","Normal value","7.8"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Asian","","Percentage","Units","Normal value","8.2"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Asian","","Percentage","Units","Normal value","8.4"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Asian","","Percentage","Units","Normal value","9.2"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Asian","","Percentage","Units","Normal value","9.2"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Asian","","Percentage","Units","Normal value","9.3"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Asian","","Percentage","Units","Normal value","10.1"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Asian","","Percentage","Units","Normal value","10.8"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Chinese","","Percentage","Units","Normal value","5.2"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Chinese","","Percentage","Units","Normal value","5.4"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Chinese","","Percentage","Units","Normal value","7.6"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Chinese","","Percentage","Units","Normal value","7.9"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Chinese","","Percentage","Units","Normal value","8.8"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Chinese","","Percentage","Units","Normal value","7.9"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Chinese","","Percentage","Units","Normal value","12.4"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Chinese","","Percentage","Units","Normal value","11.5"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Black","","Percentage","Units","Normal value","8"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Black","","Percentage","Units","Normal value","9.6"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Black","","Percentage","Units","Normal value","9.6"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Black","","Percentage","Units","Normal value","10.9"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Black","","Percentage","Units","Normal value","10.4"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Black","","Percentage","Units","Normal value","10.3"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Black","","Percentage","Units","Normal value","11.4"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Black","","Percentage","Units","Normal value","13.3"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Other","","Percentage","Units","Normal value","10.7"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Other","","Percentage","Units","Normal value","15.6"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Other","","Percentage","Units","Normal value","15.5"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Other","","Percentage","Units","Normal value","15.4"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Other","","Percentage","Units","Normal value","16.8"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Other","","Percentage","Units","Normal value","14.8"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Other","","Percentage","Units","Normal value","16.6"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","","","","","","Other","","Percentage","Units","Normal value","17.3"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","White","","Percentage","Units","Normal value","15.2"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","White","","Percentage","Units","Normal value","15.8"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","White","","Percentage","Units","Normal value","15.8"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","White","","Percentage","Units","Normal value","16.3"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","White","","Percentage","Units","Normal value","16.8"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","White","","Percentage","Units","Normal value","17.6"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","White","","Percentage","Units","Normal value","19.2"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","White","","Percentage","Units","Normal value","20.2"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Mixed","","Percentage","Units","Normal value","19.1"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Mixed","","Percentage","Units","Normal value","20.2"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Mixed","","Percentage","Units","Normal value","22.1"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Mixed","","Percentage","Units","Normal value","23.1"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Mixed","","Percentage","Units","Normal value","21.6"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Mixed","","Percentage","Units","Normal value","21.3"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Mixed","","Percentage","Units","Normal value","25.4"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Mixed","","Percentage","Units","Normal value","28.6"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Asian","","Percentage","Units","Normal value","12.8"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Asian","","Percentage","Units","Normal value","14.1"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Asian","","Percentage","Units","Normal value","13.9"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Asian","","Percentage","Units","Normal value","14.8"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Asian","","Percentage","Units","Normal value","15.8"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Asian","","Percentage","Units","Normal value","15.6"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Asian","","Percentage","Units","Normal value","16.6"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Asian","","Percentage","Units","Normal value","18.4"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Chinese","","Percentage","Units","Normal value","9.2"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Chinese","","Percentage","Units","Normal value","7.9"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Chinese","","Percentage","Units","Normal value","11.4"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Chinese","","Percentage","Units","Normal value","14.3"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Chinese","","Percentage","Units","Normal value","12.2"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Chinese","","Percentage","Units","Normal value","12.6"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Chinese","","Percentage","Units","Normal value","17.6"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Chinese","","Percentage","Units","Normal value","15.6"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Black","","Percentage","Units","Normal value","9.2"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Black","","Percentage","Units","Normal value","12.7"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Black","","Percentage","Units","Normal value","13"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Black","","Percentage","Units","Normal value","16.7"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Black","","Percentage","Units","Normal value","14.6"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Black","","Percentage","Units","Normal value","13.7"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Black","","Percentage","Units","Normal value","16"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Black","","Percentage","Units","Normal value","19.4"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Other","","Percentage","Units","Normal value","14.7"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Other","","Percentage","Units","Normal value","19.1"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Other","","Percentage","Units","Normal value","21.8"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Other","","Percentage","Units","Normal value","22.2"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Other","","Percentage","Units","Normal value","22.8"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Other","","Percentage","Units","Normal value","21.4"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Other","","Percentage","Units","Normal value","24.3"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","England","","","Other","","Percentage","Units","Normal value","23.6"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","White","","Percentage","Units","Normal value","15.3"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","White","","Percentage","Units","Normal value","16.1"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","White","","Percentage","Units","Normal value","16"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","White","","Percentage","Units","Normal value","16.5"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","White","","Percentage","Units","Normal value","17"
"2016","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","White","","Percentage","Units","Normal value","17.9"
"2015","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","White","","Percentage","Units","Normal value","19.4"
"2014","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","White","","Percentage","Units","Normal value","20.5"
"2021","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Mixed","","Percentage","Units","Normal value","18.6"
"2020","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Mixed","","Percentage","Units","Normal value","19.9"
"2019","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Mixed","","Percentage","Units","Normal value","22.1"
"2018","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Mixed","","Percentage","Units","Normal value","23.2"
"2017","Percentage of people who are current cigarette smokers aged 18 years and older","Male","","","","","Mixed","","Percentage","Units","Normal value","21.5"
