"Year","Sex","Age group","Country","Region of England","Socio-economic group","Ethnicity","Country of birth","Units","Unit multiplier","Observation status","Value"
"2021","Female","25-34","United Kingdom","","","","","Percentage","Units","Normal value","13.6"
"2020","Female","25-34","United Kingdom","","","","","Percentage","Units","Normal value","15.4"
"2019","Female","25-34","United Kingdom","","","","","Percentage","Units","Normal value","16.5"
"2018","Female","25-34","United Kingdom","","","","","Percentage","Units","Normal value","16.9"
"2017","Female","25-34","United Kingdom","","","","","Percentage","Units","Normal value","17.3"
"2016","Female","25-34","United Kingdom","","","","","Percentage","Units","Normal value","18.4"
"2015","Female","25-34","United Kingdom","","","","","Percentage","Units","Normal value","19.6"
"2014","Female","25-34","United Kingdom","","","","","Percentage","Units","Normal value","20"
"2013","Female","25-34","United Kingdom","","","","","Percentage","Units","Normal value","20.8"
"2012","Female","25-34","United Kingdom","","","","","Percentage","Units","Normal value","21.2"
"2011","Female","25-34","United Kingdom","","","","","Percentage","Units","Normal value","22.2"
"2021","Female","35-44","United Kingdom","","","","","Percentage","Units","Normal value","12.6"
"2020","Female","35-44","United Kingdom","","","","","Percentage","Units","Normal value","13.6"
"2019","Female","35-44","United Kingdom","","","","","Percentage","Units","Normal value","12.9"
"2018","Female","35-44","United Kingdom","","","","","Percentage","Units","Normal value","13.8"
"2017","Female","35-44","United Kingdom","","","","","Percentage","Units","Normal value","13.9"
"2016","Female","35-44","United Kingdom","","","","","Percentage","Units","Normal value","15"
"2015","Female","35-44","United Kingdom","","","","","Percentage","Units","Normal value","16.4"
"2014","Female","35-44","United Kingdom","","","","","Percentage","Units","Normal value","16.8"
"2013","Female","35-44","United Kingdom","","","","","Percentage","Units","Normal value","18.2"
"2012","Female","35-44","United Kingdom","","","","","Percentage","Units","Normal value","19.3"
"2011","Female","35-44","United Kingdom","","","","","Percentage","Units","Normal value","20.8"
"2021","Female","45-54","United Kingdom","","","","","Percentage","Units","Normal value","13.3"
"2020","Female","45-54","United Kingdom","","","","","Percentage","Units","Normal value","13.8"
"2019","Female","45-54","United Kingdom","","","","","Percentage","Units","Normal value","14.4"
"2018","Female","45-54","United Kingdom","","","","","Percentage","Units","Normal value","15.1"
"2017","Female","45-54","United Kingdom","","","","","Percentage","Units","Normal value","15.2"
"2016","Female","45-54","United Kingdom","","","","","Percentage","Units","Normal value","15.9"
"2015","Female","45-54","United Kingdom","","","","","Percentage","Units","Normal value","17.3"
"2014","Female","45-54","United Kingdom","","","","","Percentage","Units","Normal value","18"
"2013","Female","45-54","United Kingdom","","","","","Percentage","Units","Normal value","18.9"
"2012","Female","45-54","United Kingdom","","","","","Percentage","Units","Normal value","19.4"
"2011","Female","45-54","United Kingdom","","","","","Percentage","Units","Normal value","20.2"
"2021","Female","55-64","United Kingdom","","","","","Percentage","Units","Normal value","13.1"
"2020","Female","55-64","United Kingdom","","","","","Percentage","Units","Normal value","13.5"
"2019","Female","55-64","United Kingdom","","","","","Percentage","Units","Normal value","13.3"
"2018","Female","55-64","United Kingdom","","","","","Percentage","Units","Normal value","13.5"
"2017","Female","55-64","United Kingdom","","","","","Percentage","Units","Normal value","14.1"
"2016","Female","55-64","United Kingdom","","","","","Percentage","Units","Normal value","14.1"
"2015","Female","55-64","United Kingdom","","","","","Percentage","Units","Normal value","14.5"
"2014","Female","55-64","United Kingdom","","","","","Percentage","Units","Normal value","15.6"
"2013","Female","55-64","United Kingdom","","","","","Percentage","Units","Normal value","15.8"
"2012","Female","55-64","United Kingdom","","","","","Percentage","Units","Normal value","16.9"
"2011","Female","55-64","United Kingdom","","","","","Percentage","Units","Normal value","17.3"
"2021","Female","65+","United Kingdom","","","","","Percentage","Units","Normal value","7.5"
"2020","Female","65+","United Kingdom","","","","","Percentage","Units","Normal value","7.5"
"2019","Female","65+","United Kingdom","","","","","Percentage","Units","Normal value","7.1"
"2018","Female","65+","United Kingdom","","","","","Percentage","Units","Normal value","7.3"
"2017","Female","65+","United Kingdom","","","","","Percentage","Units","Normal value","7.7"
"2016","Female","65+","United Kingdom","","","","","Percentage","Units","Normal value","7.8"
"2015","Female","65+","United Kingdom","","","","","Percentage","Units","Normal value","8.5"
"2014","Female","65+","United Kingdom","","","","","Percentage","Units","Normal value","8.8"
"2013","Female","65+","United Kingdom","","","","","Percentage","Units","Normal value","9.2"
"2012","Female","65+","United Kingdom","","","","","Percentage","Units","Normal value","9.5"
"2011","Female","65+","United Kingdom","","","","","Percentage","Units","Normal value","9.3"
"2021","Female","All 18+","United Kingdom","","","","","Percentage","Units","Normal value","11.5"
"2020","Female","All 18+","United Kingdom","","","","","Percentage","Units","Normal value","12.3"
"2019","Female","All 18+","United Kingdom","","","","","Percentage","Units","Normal value","12.5"
"2018","Female","All 18+","United Kingdom","","","","","Percentage","Units","Normal value","13"
"2017","Female","All 18+","United Kingdom","","","","","Percentage","Units","Normal value","13.3"
"2016","Female","All 18+","United Kingdom","","","","","Percentage","Units","Normal value","14.1"
"2015","Female","All 18+","United Kingdom","","","","","Percentage","Units","Normal value","15.3"
"2014","Female","All 18+","United Kingdom","","","","","Percentage","Units","Normal value","16"
"2013","Female","All 18+","United Kingdom","","","","","Percentage","Units","Normal value","16.6"
"2012","Female","All 18+","United Kingdom","","","","","Percentage","Units","Normal value","17.4"
"2011","Female","All 18+","United Kingdom","","","","","Percentage","Units","Normal value","18.2"
"2021","","","England","","","White","","Percentage","Units","Normal value","13.7"
"2020","","","England","","","White","","Percentage","Units","Normal value","14.3"
"2019","","","England","","","White","","Percentage","Units","Normal value","14.4"
"2018","","","England","","","White","","Percentage","Units","Normal value","15"
"2017","","","England","","","White","","Percentage","Units","Normal value","15.4"
"2016","","","England","","","White","","Percentage","Units","Normal value","16.2"
"2015","","","England","","","White","","Percentage","Units","Normal value","17.6"
"2014","","","England","","","White","","Percentage","Units","Normal value","18.5"
"2021","","","England","","","Mixed","","Percentage","Units","Normal value","16"
"2020","","","England","","","Mixed","","Percentage","Units","Normal value","18.9"
"2019","","","England","","","Mixed","","Percentage","Units","Normal value","19.5"
"2018","","","England","","","Mixed","","Percentage","Units","Normal value","20.4"
"2017","","","England","","","Mixed","","Percentage","Units","Normal value","20.5"
"2016","","","England","","","Mixed","","Percentage","Units","Normal value","20.8"
"2015","","","England","","","Mixed","","Percentage","Units","Normal value","22.4"
"2014","","","England","","","Mixed","","Percentage","Units","Normal value","24.4"
"2021","","","England","","","Asian","","Percentage","Units","Normal value","7.7"
"2020","","","England","","","Asian","","Percentage","Units","Normal value","8.2"
"2019","","","England","","","Asian","","Percentage","Units","Normal value","8.3"
"2018","","","England","","","Asian","","Percentage","Units","Normal value","9.1"
"2017","","","England","","","Asian","","Percentage","Units","Normal value","9.3"
"2016","","","England","","","Asian","","Percentage","Units","Normal value","9.4"
"2015","","","England","","","Asian","","Percentage","Units","Normal value","10"
"2014","","","England","","","Asian","","Percentage","Units","Normal value","10.8"
"2021","","","England","","","Chinese","","Percentage","Units","Normal value","5.1"
"2020","","","England","","","Chinese","","Percentage","Units","Normal value","4.6"
"2019","","","England","","","Chinese","","Percentage","Units","Normal value","6.7"
"2018","","","England","","","Chinese","","Percentage","Units","Normal value","7.7"
"2017","","","England","","","Chinese","","Percentage","Units","Normal value","8.6"
"2016","","","England","","","Chinese","","Percentage","Units","Normal value","7.4"
"2015","","","England","","","Chinese","","Percentage","Units","Normal value","12.2"
"2014","","","England","","","Chinese","","Percentage","Units","Normal value","10.9"
"2021","","","England","","","Black","","Percentage","Units","Normal value","8.1"
"2020","","","England","","","Black","","Percentage","Units","Normal value","9.7"
"2019","","","England","","","Black","","Percentage","Units","Normal value","9.7"
"2018","","","England","","","Black","","Percentage","Units","Normal value","11"
"2017","","","England","","","Black","","Percentage","Units","Normal value","10.4"
"2016","","","England","","","Black","","Percentage","Units","Normal value","10.3"
"2015","","","England","","","Black","","Percentage","Units","Normal value","11.3"
"2014","","","England","","","Black","","Percentage","Units","Normal value","13.5"
"2021","","","England","","","Other","","Percentage","Units","Normal value","10.6"
"2020","","","England","","","Other","","Percentage","Units","Normal value","15.5"
"2019","","","England","","","Other","","Percentage","Units","Normal value","15.6"
"2018","","","England","","","Other","","Percentage","Units","Normal value","15.5"
"2017","","","England","","","Other","","Percentage","Units","Normal value","16.5"
"2016","","","England","","","Other","","Percentage","Units","Normal value","14.6"
"2015","","","England","","","Other","","Percentage","Units","Normal value","16.7"
"2014","","","England","","","Other","","Percentage","Units","Normal value","16.8"
"2021","","","United Kingdom","","","White","","Percentage","Units","Normal value","13.8"
"2020","","","United Kingdom","","","White","","Percentage","Units","Normal value","14.5"
"2019","","","United Kingdom","","","White","","Percentage","Units","Normal value","14.6"
"2018","","","United Kingdom","","","White","","Percentage","Units","Normal value","15.2"
"2017","","","United Kingdom","","","White","","Percentage","Units","Normal value","15.6"
"2016","","","United Kingdom","","","White","","Percentage","Units","Normal value","16.5"
"2015","","","United Kingdom","","","White","","Percentage","Units","Normal value","17.8"
"2014","","","United Kingdom","","","White","","Percentage","Units","Normal value","18.7"
"2021","","","United Kingdom","","","Mixed","","Percentage","Units","Normal value","15.6"
"2020","","","United Kingdom","","","Mixed","","Percentage","Units","Normal value","18.5"
"2019","","","United Kingdom","","","Mixed","","Percentage","Units","Normal value","19.3"
"2018","","","United Kingdom","","","Mixed","","Percentage","Units","Normal value","20.4"
"2017","","","United Kingdom","","","Mixed","","Percentage","Units","Normal value","20.1"
"2016","","","United Kingdom","","","Mixed","","Percentage","Units","Normal value","21.2"
"2015","","","United Kingdom","","","Mixed","","Percentage","Units","Normal value","22.3"
"2014","","","United Kingdom","","","Mixed","","Percentage","Units","Normal value","23.9"
"2021","","","United Kingdom","","","Asian","","Percentage","Units","Normal value","7.8"
"2020","","","United Kingdom","","","Asian","","Percentage","Units","Normal value","8.2"
"2019","","","United Kingdom","","","Asian","","Percentage","Units","Normal value","8.4"
"2018","","","United Kingdom","","","Asian","","Percentage","Units","Normal value","9.2"
"2017","","","United Kingdom","","","Asian","","Percentage","Units","Normal value","9.2"
"2016","","","United Kingdom","","","Asian","","Percentage","Units","Normal value","9.3"
"2015","","","United Kingdom","","","Asian","","Percentage","Units","Normal value","10.1"
"2014","","","United Kingdom","","","Asian","","Percentage","Units","Normal value","10.8"
"2021","","","United Kingdom","","","Chinese","","Percentage","Units","Normal value","5.2"
"2020","","","United Kingdom","","","Chinese","","Percentage","Units","Normal value","5.4"
"2019","","","United Kingdom","","","Chinese","","Percentage","Units","Normal value","7.6"
"2018","","","United Kingdom","","","Chinese","","Percentage","Units","Normal value","7.9"
"2017","","","United Kingdom","","","Chinese","","Percentage","Units","Normal value","8.8"
"2016","","","United Kingdom","","","Chinese","","Percentage","Units","Normal value","7.9"
"2015","","","United Kingdom","","","Chinese","","Percentage","Units","Normal value","12.4"
"2014","","","United Kingdom","","","Chinese","","Percentage","Units","Normal value","11.5"
"2021","","","United Kingdom","","","Black","","Percentage","Units","Normal value","8"
"2020","","","United Kingdom","","","Black","","Percentage","Units","Normal value","9.6"
"2019","","","United Kingdom","","","Black","","Percentage","Units","Normal value","9.6"
"2018","","","United Kingdom","","","Black","","Percentage","Units","Normal value","10.9"
"2017","","","United Kingdom","","","Black","","Percentage","Units","Normal value","10.4"
"2016","","","United Kingdom","","","Black","","Percentage","Units","Normal value","10.3"
"2015","","","United Kingdom","","","Black","","Percentage","Units","Normal value","11.4"
"2014","","","United Kingdom","","","Black","","Percentage","Units","Normal value","13.3"
"2021","","","United Kingdom","","","Other","","Percentage","Units","Normal value","10.7"
"2020","","","United Kingdom","","","Other","","Percentage","Units","Normal value","15.6"
"2019","","","United Kingdom","","","Other","","Percentage","Units","Normal value","15.5"
"2018","","","United Kingdom","","","Other","","Percentage","Units","Normal value","15.4"
"2017","","","United Kingdom","","","Other","","Percentage","Units","Normal value","16.8"
"2016","","","United Kingdom","","","Other","","Percentage","Units","Normal value","14.8"
"2015","","","United Kingdom","","","Other","","Percentage","Units","Normal value","16.6"
"2014","","","United Kingdom","","","Other","","Percentage","Units","Normal value","17.3"
"2021","Male","","England","","","White","","Percentage","Units","Normal value","15.2"
"2020","Male","","England","","","White","","Percentage","Units","Normal value","15.8"
"2019","Male","","England","","","White","","Percentage","Units","Normal value","15.8"
"2018","Male","","England","","","White","","Percentage","Units","Normal value","16.3"
"2017","Male","","England","","","White","","Percentage","Units","Normal value","16.8"
"2016","Male","","England","","","White","","Percentage","Units","Normal value","17.6"
"2015","Male","","England","","","White","","Percentage","Units","Normal value","19.2"
"2014","Male","","England","","","White","","Percentage","Units","Normal value","20.2"
"2021","Male","","England","","","Mixed","","Percentage","Units","Normal value","19.1"
"2020","Male","","England","","","Mixed","","Percentage","Units","Normal value","20.2"
"2019","Male","","England","","","Mixed","","Percentage","Units","Normal value","22.1"
"2018","Male","","England","","","Mixed","","Percentage","Units","Normal value","23.1"
"2017","Male","","England","","","Mixed","","Percentage","Units","Normal value","21.6"
"2016","Male","","England","","","Mixed","","Percentage","Units","Normal value","21.3"
"2015","Male","","England","","","Mixed","","Percentage","Units","Normal value","25.4"
"2014","Male","","England","","","Mixed","","Percentage","Units","Normal value","28.6"
"2021","Male","","England","","","Asian","","Percentage","Units","Normal value","12.8"
"2020","Male","","England","","","Asian","","Percentage","Units","Normal value","14.1"
"2019","Male","","England","","","Asian","","Percentage","Units","Normal value","13.9"
"2018","Male","","England","","","Asian","","Percentage","Units","Normal value","14.8"
"2017","Male","","England","","","Asian","","Percentage","Units","Normal value","15.8"
"2016","Male","","England","","","Asian","","Percentage","Units","Normal value","15.6"
"2015","Male","","England","","","Asian","","Percentage","Units","Normal value","16.6"
"2014","Male","","England","","","Asian","","Percentage","Units","Normal value","18.4"
"2021","Male","","England","","","Chinese","","Percentage","Units","Normal value","9.2"
"2020","Male","","England","","","Chinese","","Percentage","Units","Normal value","7.9"
"2019","Male","","England","","","Chinese","","Percentage","Units","Normal value","11.4"
"2018","Male","","England","","","Chinese","","Percentage","Units","Normal value","14.3"
"2017","Male","","England","","","Chinese","","Percentage","Units","Normal value","12.2"
"2016","Male","","England","","","Chinese","","Percentage","Units","Normal value","12.6"
"2015","Male","","England","","","Chinese","","Percentage","Units","Normal value","17.6"
"2014","Male","","England","","","Chinese","","Percentage","Units","Normal value","15.6"
"2021","Male","","England","","","Black","","Percentage","Units","Normal value","9.2"
"2020","Male","","England","","","Black","","Percentage","Units","Normal value","12.7"
"2019","Male","","England","","","Black","","Percentage","Units","Normal value","13"
"2018","Male","","England","","","Black","","Percentage","Units","Normal value","16.7"
"2017","Male","","England","","","Black","","Percentage","Units","Normal value","14.6"
"2016","Male","","England","","","Black","","Percentage","Units","Normal value","13.7"
"2015","Male","","England","","","Black","","Percentage","Units","Normal value","16"
"2014","Male","","England","","","Black","","Percentage","Units","Normal value","19.4"
"2021","Male","","England","","","Other","","Percentage","Units","Normal value","14.7"
"2020","Male","","England","","","Other","","Percentage","Units","Normal value","19.1"
"2019","Male","","England","","","Other","","Percentage","Units","Normal value","21.8"
"2018","Male","","England","","","Other","","Percentage","Units","Normal value","22.2"
"2017","Male","","England","","","Other","","Percentage","Units","Normal value","22.8"
"2016","Male","","England","","","Other","","Percentage","Units","Normal value","21.4"
"2015","Male","","England","","","Other","","Percentage","Units","Normal value","24.3"
"2014","Male","","England","","","Other","","Percentage","Units","Normal value","23.6"
"2021","Male","","United Kingdom","","","White","","Percentage","Units","Normal value","15.3"
"2020","Male","","United Kingdom","","","White","","Percentage","Units","Normal value","16.1"
"2019","Male","","United Kingdom","","","White","","Percentage","Units","Normal value","16"
"2018","Male","","United Kingdom","","","White","","Percentage","Units","Normal value","16.5"
"2017","Male","","United Kingdom","","","White","","Percentage","Units","Normal value","17"
"2016","Male","","United Kingdom","","","White","","Percentage","Units","Normal value","17.9"
"2015","Male","","United Kingdom","","","White","","Percentage","Units","Normal value","19.4"
"2014","Male","","United Kingdom","","","White","","Percentage","Units","Normal value","20.5"
"2021","Male","","United Kingdom","","","Mixed","","Percentage","Units","Normal value","18.6"
"2020","Male","","United Kingdom","","","Mixed","","Percentage","Units","Normal value","19.9"
"2019","Male","","United Kingdom","","","Mixed","","Percentage","Units","Normal value","22.1"
"2018","Male","","United Kingdom","","","Mixed","","Percentage","Units","Normal value","23.2"
"2017","Male","","United Kingdom","","","Mixed","","Percentage","Units","Normal value","21.5"
"2016","Male","","United Kingdom","","","Mixed","","Percentage","Units","Normal value","21.4"
"2015","Male","","United Kingdom","","","Mixed","","Percentage","Units","Normal value","25.7"
"2014","Male","","United Kingdom","","","Mixed","","Percentage","Units","Normal value","27.9"
"2021","Male","","United Kingdom","","","Asian","","Percentage","Units","Normal value","13"
"2020","Male","","United Kingdom","","","Asian","","Percentage","Units","Normal value","14"
"2019","Male","","United Kingdom","","","Asian","","Percentage","Units","Normal value","13.9"
"2018","Male","","United Kingdom","","","Asian","","Percentage","Units","Normal value","15"
"2017","Male","","United Kingdom","","","Asian","","Percentage","Units","Normal value","15.6"
"2016","Male","","United Kingdom","","","Asian","","Percentage","Units","Normal value","15.4"
"2015","Male","","United Kingdom","","","Asian","","Percentage","Units","Normal value","16.6"
"2014","Male","","United Kingdom","","","Asian","","Percentage","Units","Normal value","18.3"
"2021","Male","","United Kingdom","","","Chinese","","Percentage","Units","Normal value","9.4"
"2020","Male","","United Kingdom","","","Chinese","","Percentage","Units","Normal value","9.3"
"2019","Male","","United Kingdom","","","Chinese","","Percentage","Units","Normal value","12.6"
"2018","Male","","United Kingdom","","","Chinese","","Percentage","Units","Normal value","14.1"
"2017","Male","","United Kingdom","","","Chinese","","Percentage","Units","Normal value","13.4"
"2016","Male","","United Kingdom","","","Chinese","","Percentage","Units","Normal value","12.8"
"2015","Male","","United Kingdom","","","Chinese","","Percentage","Units","Normal value","17.9"
"2014","Male","","United Kingdom","","","Chinese","","Percentage","Units","Normal value","17.3"
"2021","Male","","United Kingdom","","","Black","","Percentage","Units","Normal value","9"
"2020","Male","","United Kingdom","","","Black","","Percentage","Units","Normal value","12.6"
"2019","Male","","United Kingdom","","","Black","","Percentage","Units","Normal value","12.9"
"2018","Male","","United Kingdom","","","Black","","Percentage","Units","Normal value","16.4"
"2017","Male","","United Kingdom","","","Black","","Percentage","Units","Normal value","14.7"
"2016","Male","","United Kingdom","","","Black","","Percentage","Units","Normal value","13.7"
"2015","Male","","United Kingdom","","","Black","","Percentage","Units","Normal value","16.3"
"2014","Male","","United Kingdom","","","Black","","Percentage","Units","Normal value","19.2"
"2021","Male","","United Kingdom","","","Other","","Percentage","Units","Normal value","15.4"
"2020","Male","","United Kingdom","","","Other","","Percentage","Units","Normal value","19.1"
"2019","Male","","United Kingdom","","","Other","","Percentage","Units","Normal value","21.9"
"2018","Male","","United Kingdom","","","Other","","Percentage","Units","Normal value","22.4"
"2017","Male","","United Kingdom","","","Other","","Percentage","Units","Normal value","23"
"2016","Male","","United Kingdom","","","Other","","Percentage","Units","Normal value","21.5"
"2015","Male","","United Kingdom","","","Other","","Percentage","Units","Normal value","24.2"
"2014","Male","","United Kingdom","","","Other","","Percentage","Units","Normal value","24.1"
"2021","Female","","England","","","White","","Percentage","Units","Normal value","12.2"
"2020","Female","","England","","","White","","Percentage","Units","Normal value","12.8"
"2019","Female","","England","","","White","","Percentage","Units","Normal value","13.1"
"2018","Female","","England","","","White","","Percentage","Units","Normal value","13.6"
"2017","Female","","England","","","White","","Percentage","Units","Normal value","14"
"2016","Female","","England","","","White","","Percentage","Units","Normal value","14.8"
"2015","Female","","England","","","White","","Percentage","Units","Normal value","16.1"
"2014","Female","","England","","","White","","Percentage","Units","Normal value","16.8"
"2021","Female","","England","","","Mixed","","Percentage","Units","Normal value","13.1"
"2020","Female","","England","","","Mixed","","Percentage","Units","Normal value","17.7"
"2019","Female","","England","","","Mixed","","Percentage","Units","Normal value","17.2"
"2018","Female","","England","","","Mixed","","Percentage","Units","Normal value","18"
"2017","Female","","England","","","Mixed","","Percentage","Units","Normal value","19.5"
"2016","Female","","England","","","Mixed","","Percentage","Units","Normal value","20.5"
"2015","Female","","England","","","Mixed","","Percentage","Units","Normal value","20.1"
"2014","Female","","England","","","Mixed","","Percentage","Units","Normal value","20.6"
"2021","Female","","England","","","Asian","","Percentage","Units","Normal value","2.6"
"2020","Female","","England","","","Asian","","Percentage","Units","Normal value","2.2"
"2019","Female","","England","","","Asian","","Percentage","Units","Normal value","2.8"
"2018","Female","","England","","","Asian","","Percentage","Units","Normal value","3.3"
"2017","Female","","England","","","Asian","","Percentage","Units","Normal value","2.9"
"2016","Female","","England","","","Asian","","Percentage","Units","Normal value","3.1"
"2015","Female","","England","","","Asian","","Percentage","Units","Normal value","3.3"
"2014","Female","","England","","","Asian","","Percentage","Units","Normal value","3.1"
"2021","Female","","England","","","Chinese","","Percentage","Units","Normal value","1.7"
"2020","Female","","England","","","Chinese","","Percentage","Units","Normal value","2.1"
"2019","Female","","England","","","Chinese","","Percentage","Units","Normal value","3.5"
"2018","Female","","England","","","Chinese","","Percentage","Units","Normal value","3"
"2017","Female","","England","","","Chinese","","Percentage","Units","Normal value","5.9"
"2016","Female","","England","","","Chinese","","Percentage","Units","Normal value","3.4"
"2015","Female","","England","","","Chinese","","Percentage","Units","Normal value","8.2"
"2014","Female","","England","","","Chinese","","Percentage","Units","Normal value","7.1"
"2021","Female","","England","","","Black","","Percentage","Units","Normal value","7.2"
"2020","Female","","England","","","Black","","Percentage","Units","Normal value","7.6"
"2019","Female","","England","","","Black","","Percentage","Units","Normal value","7"
"2018","Female","","England","","","Black","","Percentage","Units","Normal value","6"
"2017","Female","","England","","","Black","","Percentage","Units","Normal value","7"
"2016","Female","","England","","","Black","","Percentage","Units","Normal value","7.8"
"2015","Female","","England","","","Black","","Percentage","Units","Normal value","7.7"
"2014","Female","","England","","","Black","","Percentage","Units","Normal value","8.9"
"2021","Female","","England","","","Other","","Percentage","Units","Normal value","6.5"
"2020","Female","","England","","","Other","","Percentage","Units","Normal value","11.8"
"2019","Female","","England","","","Other","","Percentage","Units","Normal value","9.5"
"2018","Female","","England","","","Other","","Percentage","Units","Normal value","8.9"
"2017","Female","","England","","","Other","","Percentage","Units","Normal value","10.5"
"2016","Female","","England","","","Other","","Percentage","Units","Normal value","7.6"
"2015","Female","","England","","","Other","","Percentage","Units","Normal value","9.1"
"2014","Female","","England","","","Other","","Percentage","Units","Normal value","9.9"
"2021","Female","","United Kingdom","","","White","","Percentage","Units","Normal value","12.4"
"2020","Female","","United Kingdom","","","White","","Percentage","Units","Normal value","13.1"
"2019","Female","","United Kingdom","","","White","","Percentage","Units","Normal value","13.4"
"2018","Female","","United Kingdom","","","White","","Percentage","Units","Normal value","13.9"
"2017","Female","","United Kingdom","","","White","","Percentage","Units","Normal value","14.3"
"2016","Female","","United Kingdom","","","White","","Percentage","Units","Normal value","15.1"
"2015","Female","","United Kingdom","","","White","","Percentage","Units","Normal value","16.3"
"2014","Female","","United Kingdom","","","White","","Percentage","Units","Normal value","17.1"
"2021","Female","","United Kingdom","","","Mixed","","Percentage","Units","Normal value","12.9"
"2020","Female","","United Kingdom","","","Mixed","","Percentage","Units","Normal value","17.3"
"2019","Female","","United Kingdom","","","Mixed","","Percentage","Units","Normal value","16.7"
"2018","Female","","United Kingdom","","","Mixed","","Percentage","Units","Normal value","17.8"
"2017","Female","","United Kingdom","","","Mixed","","Percentage","Units","Normal value","18.9"
"2016","Female","","United Kingdom","","","Mixed","","Percentage","Units","Normal value","20.9"
"2015","Female","","United Kingdom","","","Mixed","","Percentage","Units","Normal value","19.7"
"2014","Female","","United Kingdom","","","Mixed","","Percentage","Units","Normal value","20.4"
"2021","Female","","United Kingdom","","","Asian","","Percentage","Units","Normal value","2.6"
"2020","Female","","United Kingdom","","","Asian","","Percentage","Units","Normal value","2.3"
"2019","Female","","United Kingdom","","","Asian","","Percentage","Units","Normal value","2.9"
"2018","Female","","United Kingdom","","","Asian","","Percentage","Units","Normal value","3.3"
"2017","Female","","United Kingdom","","","Asian","","Percentage","Units","Normal value","2.9"
"2016","Female","","United Kingdom","","","Asian","","Percentage","Units","Normal value","3"
"2015","Female","","United Kingdom","","","Asian","","Percentage","Units","Normal value","3.3"
"2014","Female","","United Kingdom","","","Asian","","Percentage","Units","Normal value","3.1"
"2021","Female","","United Kingdom","","","Chinese","","Percentage","Units","Normal value","1.9"
"2020","Female","","United Kingdom","","","Chinese","","Percentage","Units","Normal value","2.4"
"2019","Female","","United Kingdom","","","Chinese","","Percentage","Units","Normal value","4"
"2018","Female","","United Kingdom","","","Chinese","","Percentage","Units","Normal value","3.4"
"2017","Female","","United Kingdom","","","Chinese","","Percentage","Units","Normal value","5.3"
"2016","Female","","United Kingdom","","","Chinese","","Percentage","Units","Normal value","4"
"2015","Female","","United Kingdom","","","Chinese","","Percentage","Units","Normal value","8.1"
"2014","Female","","United Kingdom","","","Chinese","","Percentage","Units","Normal value","6.9"
"2021","Female","","United Kingdom","","","Black","","Percentage","Units","Normal value","7.2"
"2020","Female","","United Kingdom","","","Black","","Percentage","Units","Normal value","7.4"
"2019","Female","","United Kingdom","","","Black","","Percentage","Units","Normal value","6.9"
"2018","Female","","United Kingdom","","","Black","","Percentage","Units","Normal value","6.1"
"2017","Female","","United Kingdom","","","Black","","Percentage","Units","Normal value","6.8"
"2016","Female","","United Kingdom","","","Black","","Percentage","Units","Normal value","7.7"
"2015","Female","","United Kingdom","","","Black","","Percentage","Units","Normal value","7.6"
"2014","Female","","United Kingdom","","","Black","","Percentage","Units","Normal value","8.8"
"2021","Female","","United Kingdom","","","Other","","Percentage","Units","Normal value","6.2"
"2020","Female","","United Kingdom","","","Other","","Percentage","Units","Normal value","12"
"2019","Female","","United Kingdom","","","Other","","Percentage","Units","Normal value","9.3"
"2018","Female","","United Kingdom","","","Other","","Percentage","Units","Normal value","8.6"
"2017","Female","","United Kingdom","","","Other","","Percentage","Units","Normal value","10.7"
"2016","Female","","United Kingdom","","","Other","","Percentage","Units","Normal value","8"
"2015","Female","","United Kingdom","","","Other","","Percentage","Units","Normal value","9.1"
"2014","Female","","United Kingdom","","","Other","","Percentage","Units","Normal value","10.3"
"2021","","","England","","","","India","Percentage","Units","Normal value","4.3"
"2020","","","England","","","","India","Percentage","Units","Normal value","5.2"
"2019","","","England","","","","India","Percentage","Units","Normal value","5.4"
"2018","","","England","","","","India","Percentage","Units","Normal value","5.2"
"2017","","","England","","","","India","Percentage","Units","Normal value","4.6"
"2016","","","England","","","","India","Percentage","Units","Normal value","5.2"
"2015","","","England","","","","India","Percentage","Units","Normal value","5.5"
"2014","","","England","","","","India","Percentage","Units","Normal value","5.6"
"2021","","","England","","","","Republic of Ireland","Percentage","Units","Normal value","10.6"
"2020","","","England","","","","Republic of Ireland","Percentage","Units","Normal value","12.3"
"2019","","","England","","","","Republic of Ireland","Percentage","Units","Normal value","13.5"
"2018","","","England","","","","Republic of Ireland","Percentage","Units","Normal value","11.6"
"2017","","","England","","","","Republic of Ireland","Percentage","Units","Normal value","13.2"
"2016","","","England","","","","Republic of Ireland","Percentage","Units","Normal value","15.3"
"2015","","","England","","","","Republic of Ireland","Percentage","Units","Normal value","15"
"2014","","","England","","","","Republic of Ireland","Percentage","Units","Normal value","16.5"
"2021","","","England","","","","Pakistan","Percentage","Units","Normal value","10.9"
"2020","","","England","","","","Pakistan","Percentage","Units","Normal value","10.7"
"2019","","","England","","","","Pakistan","Percentage","Units","Normal value","9.7"
"2018","","","England","","","","Pakistan","Percentage","Units","Normal value","10.6"
"2017","","","England","","","","Pakistan","Percentage","Units","Normal value","10.1"
"2016","","","England","","","","Pakistan","Percentage","Units","Normal value","10.4"
"2015","","","England","","","","Pakistan","Percentage","Units","Normal value","9.7"
"2014","","","England","","","","Pakistan","Percentage","Units","Normal value","13.5"
