Year,IncomeGroup,TypeofAidCode,TypeofAidText,SectorPurposeCode(CRScode),BroadSectorCode(DAC5code),SIDsector,AmountsExtended(£thousands),NetODA(£thousands)
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",15110,151,Government and Civil Society,2037,2037
2016,0,D01,Donor country personnel,72050,720,Humantarian,2028.6148,2028.6148
2016,0,C01,Project-type interventions,41010,410,Multisector,2021.9832,2021.9832
2016,0,C01,Project-type interventions,43082,430,Multisector,2013.4964,2013.4964
2016,0,C01,Project-type interventions,99810,998,Unallocated,2004.5312,2004.5312
2016,0,B01,"Core support to NGOs, other private bodies, PPPs and research institutes",43010,430,Multisector,2002.702,2002.702
2016,LDCs,C01,Project-type interventions,72050,720,Humantarian,2001.805,2001.805
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",23110,231,Economic Infrastructure & Services,2000,2000
2016,0,B01,"Core support to NGOs, other private bodies, PPPs and research institutes",12182,121,Health,2000,2000
2016,0,B01,"Core support to NGOs, other private bodies, PPPs and research institutes",41010,410,Multisector,2000,2000
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",31210,312,Production Services,2000,2000
2016,0,H02,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72050,720,Humantarian,2000,2000
2016,LDCs,C01,Project-type interventions,11220,112,Education,2000,2000
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72010,720,Humantarian,2000,2000
2016,LDCs,C01,Project-type interventions,16010,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,2000,2000
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",15110,151,Government and Civil Society,2000,2000
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72050,720,Humantarian,2000,2000
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",12182,121,Health,2000,2000
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",15110,151,Government and Civil Society,2000,2000
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",16062,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,2000,2000
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",99810,998,Unallocated,2000,2000
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",31120,311,Production Services,2000,2000
2016,LMICs,C01,Project-type interventions,72010,720,Humantarian,2000,2000
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",15151,151,Government and Civil Society,2000,2000
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",15112,151,Government and Civil Society,2000,2000
2016,LDCs,C01,Project-type interventions,72010,720,Humantarian,2000,2000
2016,LDCs,C01,Project-type interventions,74010,740,Humantarian,2000,2000
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72050,720,Humantarian,2000,2000
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",15111,151,Government and Civil Society,2000,2000
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72050,720,Humantarian,2000,2000
2016,LDCs,C01,Project-type interventions,15111,151,Government and Civil Society,1999.641,1999.641
2016,0,B01,"Core support to NGOs, other private bodies, PPPs and research institutes",12182,121,Health,1993.47,1993.47
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,1988.6565,1988.6565
2016,Other LICs,C01,Project-type interventions,11220,112,Education,1988.624,1988.624
2016,LDCs,C01,Project-type interventions,41010,410,Multisector,1985.8549,1985.8549
2016,LDCs,D02,Other technical assistance,32120,321,Production Services,1980.5104,1980.5104
2016,0,C01,Project-type interventions,15220,152,Government and Civil Society,1979.135,1979.135
2016,0,B01,"Core support to NGOs, other private bodies, PPPs and research institutes",43010,430,Multisector,1973.611,1973.611
2016,0,C01,Project-type interventions,74010,740,Humantarian,1972.271,1972.271
2016,LMICs,C01,Project-type interventions,11320,113,Education,1969.2842,1969.2842
2016,LDCs,C01,Project-type interventions,15110,151,Government and Civil Society,1966.901,1966.901
2016,0,C01,Project-type interventions,15153,151,Government and Civil Society,1965.002,1965.002
2016,0,C01,Project-type interventions,15220,152,Government and Civil Society,1961.326,1961.326
2016,UMICs,C01,Project-type interventions,41082,410,Multisector,1958.466,1958.466
2016,LDCs,C01,Project-type interventions,15114,151,Government and Civil Society,1951.6631,1951.6631
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",31210,312,Production Services,1950,1950
2016,LMICs,C01,Project-type interventions,43040,430,Multisector,1949.971,1949.971
2016,0,C01,Project-type interventions,31182,311,Production Services,1949.099,1949.099
2016,LDCs,C01,Project-type interventions,24030,240,Economic Infrastructure & Services,1948.047,1948.047
2016,0,C01,Project-type interventions,31120,311,Production Services,1943.972,1943.972
2016,UMICs,C01,Project-type interventions,43081,430,Multisector,1933.5137,1933.5137
2016,0,B01,"Core support to NGOs, other private bodies, PPPs and research institutes",31182,311,Production Services,1933.344,1933.344
2016,LDCs,D02,Other technical assistance,11320,113,Education,1930.966,1930.966
2016,LMICs,H01,Development awareness,72010,720,Humantarian,1927.5486,1927.5486
2016,LDCs,C01,Project-type interventions,15111,151,Government and Civil Society,1926.7051,1926.7051
2016,LMICs,C01,Project-type interventions,15220,152,Government and Civil Society,1922.007,1922.007
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",31210,312,Production Services,1921,1921
2016,LDCs,C01,Project-type interventions,74010,740,Humantarian,1914.0632,1914.0632
2016,0,B01,"Core support to NGOs, other private bodies, PPPs and research institutes",43010,430,Multisector,1907.359,1907.359
2016,LDCs,C01,Project-type interventions,25010,250,Economic Infrastructure & Services,1903.8741,1903.8741
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",15110,151,Government and Civil Society,1900,1900
2016,UMICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",11220,112,Education,1900,1900
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",21010,210,Economic Infrastructure & Services,1900,1900
2016,0,C01,Project-type interventions,24010,240,Economic Infrastructure & Services,1899.364,1899.364
2016,LDCs,C01,Project-type interventions,15220,152,Government and Civil Society,1898.551,1898.551
2016,0,C01,Project-type interventions,32182,321,Production Services,1893.8961,1893.8961
2016,LDCs,C01,Project-type interventions,12250,122,Health,1888.0186,1888.0186
2016,UMICs,C01,Project-type interventions,15220,152,Government and Civil Society,1887.784,1887.784
2016,LDCs,C01,Project-type interventions,15112,151,Government and Civil Society,1882.0363,1882.0363
2016,LMICs,C01,Project-type interventions,15220,152,Government and Civil Society,1880.4964,1880.4964
2016,LMICs,C01,Project-type interventions,43030,430,Multisector,1871.6111,1871.6111
2016,UMICs,C01,Project-type interventions,15220,152,Government and Civil Society,1862.922,1862.922
2016,LMICs,C01,Project-type interventions,41010,410,Multisector,1862.5,1862.5
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,1850.67,1850.67
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",15150,151,Government and Civil Society,1850,1850
2016,UMICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",11330,113,Education,1840,1840
2016,LDCs,D01,Donor country personnel,43082,430,Multisector,1836.414,1836.414
2016,0,C01,Project-type interventions,33140,331,Production Services,1835.3221,1835.3221
2016,LDCs,C01,Project-type interventions,74010,740,Humantarian,1834.775,1834.775
2016,0,B01,"Core support to NGOs, other private bodies, PPPs and research institutes",43010,430,Multisector,1833.773,1833.773
2016,LDCs,C01,Project-type interventions,31120,311,Production Services,1833.2126,1833.2126
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",43082,430,Multisector,1832.92,1832.92
2016,0,C01,Project-type interventions,15153,151,Government and Civil Society,1832.1093,1832.1093
2016,LMICs,C01,Project-type interventions,15220,152,Government and Civil Society,1829.421,1829.421
2016,LMICs,G01,Administrative costs not included elsewhere,91010,910,Admin,1808.6833,1808.6833
2016,LMICs,C01,Project-type interventions,72050,720,Humantarian,1805.839,1805.839
2016,LDCs,C01,Project-type interventions,72050,720,Humantarian,1800.0322,1800.0322
2016,0,C01,Project-type interventions,15110,151,Government and Civil Society,1800,1800
2016,LMICs,C01,Project-type interventions,15220,152,Government and Civil Society,1800,1800
2016,LMICs,C01,Project-type interventions,21020,210,Economic Infrastructure & Services,1800,1800
2016,0,C01,Project-type interventions,43010,430,Multisector,1799.435,1799.435
2016,LMICs,C01,Project-type interventions,11420,114,Education,1794.9895,1794.9895
2016,0,G01,Administrative costs not included elsewhere,32130,321,Production Services,1794.352,1794.352
2016,0,C01,Project-type interventions,41010,410,Multisector,1790,1790
2016,LDCs,C01,Project-type interventions,43040,430,Multisector,1786.9577,1786.9577
2016,LDCs,C01,Project-type interventions,14030,140,WASH,1785.611,1785.611
2016,LMICs,C01,Project-type interventions,72050,720,Humantarian,1782.155,1782.155
2016,LMICs,C01,Project-type interventions,41010,410,Multisector,1780.2304,1780.2304
2016,LDCs,C01,Project-type interventions,41010,410,Multisector,1771.8552,1771.8552
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",12182,121,Health,1771.169,1771.169
2016,LDCs,C01,Project-type interventions,72010,720,Humantarian,1771.1069,1771.1069
2016,LDCs,C01,Project-type interventions,11220,112,Education,1765.8429,1765.8429
2016,0,C01,Project-type interventions,43082,430,Multisector,1756.7148,1756.7148
2016,LMICs,C01,Project-type interventions,31182,311,Production Services,1752.517,1752.517
2016,LMICs,C01,Project-type interventions,13030,130,Health,1737.992,1737.992
2016,UMICs,C01,Project-type interventions,72010,720,Humantarian,1735.825,1735.825
2016,LMICs,C01,Project-type interventions,15220,152,Government and Civil Society,1734.024,1734.024
2016,0,C01,Project-type interventions,15110,151,Government and Civil Society,1733.0388,1733.0388
2016,0,C01,Project-type interventions,31120,311,Production Services,1728.7163,1728.7163
2016,LDCs,C01,Project-type interventions,15210,152,Government and Civil Society,1726.632,1726.632
2016,LDCs,C01,Project-type interventions,14030,140,WASH,1726.1556,1726.1556
2016,0,C01,Project-type interventions,41010,410,Multisector,1720.693,1720.693
2016,UMICs,C01,Project-type interventions,15110,151,Government and Civil Society,1719,1719
2016,LDCs,C01,Project-type interventions,11120,111,Education,1712.284,1712.284
2016,0,D02,Other technical assistance,15130,151,Government and Civil Society,1710.7242,1710.7242
2016,UMICs,C01,Project-type interventions,72010,720,Humantarian,1709.6603,1709.6603
2016,LMICs,C01,Project-type interventions,11220,112,Education,1709.3029,1709.3029
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",15220,152,Government and Civil Society,1700,1700
2016,LDCs,C01,Project-type interventions,72040,720,Humantarian,1700,1700
2016,Other LICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",15111,151,Government and Civil Society,1700,1700
2016,LMICs,D02,Other technical assistance,15150,151,Government and Civil Society,1691.874,1691.874
2016,LMICs,C01,Project-type interventions,31182,311,Production Services,1691.732,1691.732
2016,LDCs,C01,Project-type interventions,15151,151,Government and Civil Society,1691.65,1691.65
2016,LDCs,C01,Project-type interventions,15240,152,Government and Civil Society,1690.2411,1690.2411
2016,0,D02,Other technical assistance,12240,122,Health,1675.3868,1675.3868
2016,LDCs,C01,Project-type interventions,72050,720,Humantarian,1673.955,1673.955
2016,0,C01,Project-type interventions,41010,410,Multisector,1667.6472,1667.6472
2016,LDCs,C01,Project-type interventions,43081,430,Multisector,1667.6205,1667.6205
2016,0,C01,Project-type interventions,12182,121,Health,1665.002,1665.002
2016,0,C01,Project-type interventions,72050,720,Humantarian,1662.4626,1662.4626
2016,0,C01,Project-type interventions,43082,430,Multisector,1661.5488,1661.5488
2016,LMICs,C01,Project-type interventions,12240,122,Health,1652.3511,1652.3511
2016,Other LICs,C01,Project-type interventions,43081,430,Multisector,1650.811,1650.811
2016,LDCs,C01,Project-type interventions,31120,311,Production Services,1643.1154,1643.1154
2016,0,D02,Other technical assistance,43082,430,Multisector,1638.6097,1638.6097
2016,LMICs,C01,Project-type interventions,15151,151,Government and Civil Society,1634.573,1634.573
2016,0,C01,Project-type interventions,11420,114,Education,1627.376,1627.376
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",33110,331,Production Services,1625,1625
2016,LMICs,D02,Other technical assistance,15110,151,Government and Civil Society,1623.437,1623.437
2016,UMICs,C01,Project-type interventions,21010,210,Economic Infrastructure & Services,1623.2107,1623.2107
2016,0,C01,Project-type interventions,12250,122,Health,1619.6662,1619.6662
2016,UMICs,C01,Project-type interventions,31182,311,Production Services,1616.6286,1616.6286
2016,0,C01,Project-type interventions,11420,114,Education,1615.987,1615.987
2016,0,C01,Project-type interventions,15160,151,Government and Civil Society,1615.2998,1615.2998
2016,0,C01,Project-type interventions,31120,311,Production Services,1612.666,1612.666
2016,LMICs,C01,Project-type interventions,43081,430,Multisector,1611.7582,1611.7582
2016,0,C01,Project-type interventions,33110,331,Production Services,1605,1605
2016,LDCs,C01,Project-type interventions,31191,311,Production Services,1604.6631,1604.6631
2016,0,C01,Project-type interventions,15153,151,Government and Civil Society,1603.1793,1603.1793
2016,0,D02,Other technical assistance,41082,410,Multisector,1602.0185,1602.0185
2016,LMICs,D02,Other technical assistance,25010,250,Economic Infrastructure & Services,1601.9011,1601.9011
2016,LMICs,C01,Project-type interventions,15220,152,Government and Civil Society,1600,1600
2016,0,B01,"Core support to NGOs, other private bodies, PPPs and research institutes",12263,122,Health,1600,1600
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",15110,151,Government and Civil Society,1600,1600
2016,LDCs,C01,Project-type interventions,43040,430,Multisector,1600,1600
2016,LDCs,C01,Project-type interventions,12261,122,Health,1600,1600
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",24010,240,Economic Infrastructure & Services,1600,1600
2016,LDCs,C01,Project-type interventions,72010,720,Humantarian,1600,1600
2016,0,D02,Other technical assistance,25010,250,Economic Infrastructure & Services,1599.876,1599.876
2016,LMICs,D02,Other technical assistance,12262,122,Health,1599.8297,1599.8297
2016,LDCs,C01,Project-type interventions,31191,311,Production Services,1598.0681,1598.0681
2016,LDCs,C01,Project-type interventions,15112,151,Government and Civil Society,1596.8397,1596.8397
2016,0,C01,Project-type interventions,31120,311,Production Services,1594.8215,1594.8215
2016,0,D02,Other technical assistance,12182,121,Health,1590.4659,1590.4659
2016,LDCs,C01,Project-type interventions,32130,321,Production Services,1590.2043,1590.2043
2016,LDCs,C01,Project-type interventions,13030,130,Health,1584.1052,1584.1052
2016,0,C01,Project-type interventions,43082,430,Multisector,1583.8494,1583.8494
2016,LMICs,D02,Other technical assistance,15111,151,Government and Civil Society,1580.235,1580.235
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",72040,720,Humantarian,1576.784,1576.784
2016,LDCs,C01,Project-type interventions,31191,311,Production Services,1574.2602,1574.2602
2016,LMICs,C01,Project-type interventions,43081,430,Multisector,1573.4164,1573.4164
2016,LDCs,C01,Project-type interventions,12240,122,Health,1567.4492,1567.4492
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",15110,151,Government and Civil Society,1564.2951,1564.2951
2016,0,C01,Project-type interventions,12182,121,Health,1563.91,1563.91
2016,LDCs,C01,Project-type interventions,15150,151,Government and Civil Society,1563.519,1563.519
2016,LMICs,D02,Other technical assistance,11182,111,Education,1562.4871,1562.4871
2016,LDCs,C01,Project-type interventions,12262,122,Health,1561.6248,1561.6248
2016,0,C01,Project-type interventions,12250,122,Health,1559.351,1559.351
2016,LMICs,C01,Project-type interventions,15220,152,Government and Civil Society,1559.2054,1559.2054
2016,Other LICs,C01,Project-type interventions,41010,410,Multisector,1554.619,1554.619
2016,LDCs,C01,Project-type interventions,15114,151,Government and Civil Society,1554.5676,1554.5676
2016,0,C01,Project-type interventions,33210,332,Production Services,1551.4746,1551.4746
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",24010,240,Economic Infrastructure & Services,1550,1550
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",14030,140,WASH,1549.954,1549.954
2016,0,D02,Other technical assistance,15153,151,Government and Civil Society,1549.801,1549.801
2016,LDCs,C01,Project-type interventions,43081,430,Multisector,1549.7277,1549.7277
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",24040,240,Economic Infrastructure & Services,1543,1543
2016,LMICs,C01,Project-type interventions,72040,720,Humantarian,1533.8649,1533.8649
2016,0,C01,Project-type interventions,43082,430,Multisector,1531.4495,1531.4495
2016,UMICs,C01,Project-type interventions,43082,430,Multisector,1529.9081,1529.9081
2016,LMICs,C01,Project-type interventions,25010,250,Economic Infrastructure & Services,1524.4783,1524.4783
2016,LDCs,C01,Project-type interventions,15151,151,Government and Civil Society,1523.9699,1523.9699
2016,LDCs,C01,Project-type interventions,15112,151,Government and Civil Society,1523.855,1523.855
2016,0,B01,"Core support to NGOs, other private bodies, PPPs and research institutes",43010,430,Multisector,1518.7608,1518.7608
2016,LDCs,C01,Project-type interventions,43081,430,Multisector,1518.1257,1518.1257
2016,0,C01,Project-type interventions,13020,130,Health,1517.6937,1517.6937
2016,0,D01,Donor country personnel,15110,151,Government and Civil Society,1516.2016,1516.2016
2016,LDCs,C01,Project-type interventions,43040,430,Multisector,1511.355,1511.355
2016,UMICs,C01,Project-type interventions,72010,720,Humantarian,1505.2206,1505.2206
2016,LDCs,C01,Project-type interventions,14050,140,WASH,1504.7777,1504.7777
2016,0,C01,Project-type interventions,43082,430,Multisector,1500,1500
2016,LDCs,C01,Project-type interventions,72010,720,Humantarian,1500,1500
2016,LDCs,C01,Project-type interventions,15150,151,Government and Civil Society,1500,1500
2016,0,C01,Project-type interventions,16040,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,1500,1500
2016,0,C01,Project-type interventions,12262,122,Health,1500,1500
2016,LDCs,C01,Project-type interventions,16062,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,1500,1500
2016,LDCs,C01,Project-type interventions,15150,151,Government and Civil Society,1500,1500
2016,LDCs,C01,Project-type interventions,15111,151,Government and Civil Society,1500,1500
2016,LMICs,C01,Project-type interventions,72050,720,Humantarian,1500,1500
2016,LDCs,C01,Project-type interventions,72010,720,Humantarian,1500,1500
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",33120,331,Production Services,1500,1500
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",12261,122,Health,1500,1500
2016,LDCs,C01,Project-type interventions,43040,430,Multisector,1500,1500
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",14010,140,WASH,1500,1500
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",21010,210,Economic Infrastructure & Services,1500,1500
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",15130,151,Government and Civil Society,1500,1500
2016,LDCs,C01,Project-type interventions,99810,998,Unallocated,1500,1500
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",25020,250,Economic Infrastructure & Services,1500,1500
2016,0,D02,Other technical assistance,41082,410,Multisector,1499.998,1499.998
2016,LMICs,C01,Project-type interventions,15220,152,Government and Civil Society,1496.969,1496.969
2016,LMICs,C01,Project-type interventions,15220,152,Government and Civil Society,1495.091,1495.091
2016,LDCs,C01,Project-type interventions,15220,152,Government and Civil Society,1491.0853,1491.0853
2016,0,D02,Other technical assistance,43082,430,Multisector,5133.4079,1488.4605
2016,0,C01,Project-type interventions,15150,151,Government and Civil Society,1485.4824,1485.4824
2016,LDCs,C01,Project-type interventions,25010,250,Economic Infrastructure & Services,1481.4262,1481.4262
2016,UMICs,C01,Project-type interventions,43081,430,Multisector,1480.4707,1480.4707
2016,LMICs,C01,Project-type interventions,73010,730,Humantarian,1475.3902,1475.3902
2016,0,C01,Project-type interventions,43082,430,Multisector,1474.0592,1474.0592
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",43082,430,Multisector,1471.418,1471.418
2016,LDCs,C01,Project-type interventions,15170,151,Government and Civil Society,1471.276,1471.276
2016,0,D02,Other technical assistance,41010,410,Multisector,1470.7987,1470.7987
2016,0,D01,Donor country personnel,15210,152,Government and Civil Society,1470,1470
2016,LMICs,C01,Project-type interventions,12240,122,Health,1467.9755,1467.9755
2016,LDCs,C01,Project-type interventions,12262,122,Health,1467.8212,1467.8212
2016,LDCs,C01,Project-type interventions,15250,152,Government and Civil Society,1467.612,1467.612
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",15110,151,Government and Civil Society,1463,1463
2016,LMICs,C01,Project-type interventions,43010,430,Multisector,1455.8497,1455.8497
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",15180,151,Government and Civil Society,1455.294,1455.294
2016,LDCs,D02,Other technical assistance,13020,130,Health,1451.96,1451.96
2016,0,C01,Project-type interventions,31210,312,Production Services,1446.9615,1446.9615
2016,UMICs,C01,Project-type interventions,72010,720,Humantarian,1445.766,1445.766
2016,0,C01,Project-type interventions,32182,321,Production Services,1440.8575,1440.8575
2016,UMICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",15220,152,Government and Civil Society,1440,1440
2016,LMICs,C01,Project-type interventions,43081,430,Multisector,1439.2128,1439.2128
2016,LDCs,C01,Project-type interventions,32130,321,Production Services,1425,1425
2016,LDCs,C01,Project-type interventions,73010,730,Humantarian,1422.356,1422.356
2016,LDCs,C01,Project-type interventions,15113,151,Government and Civil Society,1420,1420
2016,0,C01,Project-type interventions,23260,232,Economic Infrastructure & Services,1414.8004,1414.8004
2016,0,B02,Core contributions to multilateral institutions,99810,998,Unallocated,1410.748,1410.748
2016,0,G01,Administrative costs not included elsewhere,91010,910,Admin,1408.9615,1408.9615
2016,LDCs,C01,Project-type interventions,25010,250,Economic Infrastructure & Services,1407.8768,1407.8768
2016,UMICs,C01,Project-type interventions,21010,210,Economic Infrastructure & Services,1402,1402
2016,LDCs,C01,Project-type interventions,16010,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,1401.769,1401.769
2016,0,C01,Project-type interventions,33181,331,Production Services,1400,1400
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",24010,240,Economic Infrastructure & Services,1400,1400
2016,0,C01,Project-type interventions,12220,122,Health,1397.915,1397.915
2016,LDCs,C01,Project-type interventions,72050,720,Humantarian,1392.988,1392.988
2016,UMICs,D01,Donor country personnel,15130,151,Government and Civil Society,1391.567,1391.567
2016,0,C01,Project-type interventions,13030,130,Health,1389.7732,1389.7732
2016,0,C01,Project-type interventions,22020,220,Economic Infrastructure & Services,1388.038,1388.038
2016,0,D02,Other technical assistance,12182,121,Health,1387.0283,1387.0283
2016,LDCs,C01,Project-type interventions,14030,140,WASH,1385.682,1385.682
2016,0,C01,Project-type interventions,12182,121,Health,1381.8991,1381.8991
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",13020,130,Health,1377.74,1377.74
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",43082,430,Multisector,1376.8,1376.8
2016,0,C01,Project-type interventions,43082,430,Multisector,1371.434,1371.434
2016,0,G01,Administrative costs not included elsewhere,91010,910,Admin,1371.3134,1371.3134
2016,0,D02,Other technical assistance,12182,121,Health,1370.25,1370.25
2016,Other LICs,B04,Basket funds/pooled funding,32130,321,Production Services,1365.6704,1365.6704
2016,Other LICs,C01,Project-type interventions,12110,121,Health,1364.5553,1364.5553
2016,0,C01,Project-type interventions,12220,122,Health,1360.01,1360.01
2016,LDCs,C01,Project-type interventions,31120,311,Production Services,1360,1360
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",41010,410,Multisector,1359.875,1359.875
2016,LMICs,D02,Other technical assistance,41082,410,Multisector,1355.8945,1355.8945
2016,UMICs,C01,Project-type interventions,43081,430,Multisector,1355.7857,1355.7857
2016,0,D02,Other technical assistance,15210,152,Government and Civil Society,1355.4325,1355.4325
2016,0,C01,Project-type interventions,32130,321,Production Services,1350,1350
2016,Other LICs,C01,Project-type interventions,16010,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,1343.2769,1343.2769
2016,LMICs,C01,Project-type interventions,12262,122,Health,1342.9812,1342.9812
2016,0,D02,Other technical assistance,43082,430,Multisector,1342.9044,1342.9044
2016,LDCs,C01,Project-type interventions,24010,240,Economic Infrastructure & Services,1341.1663,1341.1663
2016,Other LICs,B04,Basket funds/pooled funding,41010,410,Multisector,1339,1339
2016,LMICs,C01,Project-type interventions,16010,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,1333.333,1333.333
2016,LDCs,C01,Project-type interventions,15150,151,Government and Civil Society,1333.0786,1333.0786
2016,LMICs,E01,Scholarships/training in donor country,43081,430,Multisector,1330,1330
2016,0,G01,Administrative costs not included elsewhere,91010,910,Admin,1327.9612,1327.9612
2016,LDCs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",16062,160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,1327.4805,1327.4805
2016,0,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",23630,236,Economic Infrastructure & Services,1325.735,1325.735
2016,0,G01,Administrative costs not included elsewhere,91010,910,Admin,1325.455,1325.455
2016,LDCs,C01,Project-type interventions,11330,113,Education,1325.1311,1325.1311
2016,0,C01,Project-type interventions,43082,430,Multisector,1323.7303,1323.7303
2016,LDCs,C01,Project-type interventions,15170,151,Government and Civil Society,1321.39,1321.39
2016,LDCs,C01,Project-type interventions,24030,240,Economic Infrastructure & Services,1320.8745,1320.8745
2016,UMICs,D02,Other technical assistance,11110,111,Education,1317.4886,1317.4886
2016,UMICs,B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)",15220,152,Government and Civil Society,1317.405,1317.405
2016,0,C01,Project-type interventions,11430,114,Education,1316.1629,1316.1629
2016,LDCs,C01,Project-type interventions,11320,113,Education,1314.4927,1314.4927
2016,0,C01,Project-type interventions,13040,130,Health,1312.5,1312.5
2016,LDCs,C01,Project-type interventions,73010,730,Humantarian,1312.025,1312.025
2016,0,C01,Project-type interventions,43082,430,Multisector,1311.8288,1311.8288
2016,UMICs,C01,Project-type interventions,43081,430,Multisector,1310.8871,1310.8871
2016,UMICs,C01,Project-type interventions,15220,152,Government and Civil Society,1309.466,1309.466
2016,Other LICs,C01,Project-type interventions,99810,998,Unallocated,1305.5284,1305.5284
2016,0,B01,"Core support to NGOs, other private bodies, PPPs and research institutes",43010,430,Multisector,1304.37,1304.37
2016,0,B01,"Core support to NGOs, other private bodies, PPPs and research institutes",43010,430,Multisector,1304.37,1304.37
